Age,Postal Code,Gender,Goal1,Goal2,Goal3,Goal4,Goal5,Goal6,Goal7,Goal8,Goal9,Goal10
Prefer not to disclose,V1V,Prefer not to disclose,Very Important,Very Important,Very Important,Not Important,Less Important,Very Important,Important,Important,Less Important,Important
65 and up,V1W,Female,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,Very Important,Very Important
55 to 64,V4T,Female,Very Important,Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important
35 to 44,V1Y,Male,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not Important,Less Important,Important,Important
65 and up,V1Y,Male,Very Important,Very Important,Important,Important,Very Important,Very Important,Less Important,Important,Important,Less Important
25 to 34,V1W,Female,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important
35 to 44,V1W,Female,Less Important,Less Important,Less Important,Very Important,Very Important,Less Important,Less Important,Very Important,Less Important,Very Important
25 to 34,V1X,Female,Less Important,Very Important,Important,Important,Very Important,Less Important,Less Important,Important,Less Important,Important
25 to 34,V4T,Male,Very Important,Important,Very Important,Less Important,Very Important,Important,Less Important,Important,Important,Very Important
45 to 54,V1Y,Female,Important,Very Important,Very Important,Very Important,Very Important,Important,Less Important,Very Important,Very Important,Very Important
55 to 64,V1X,Male,Less Important,Important,Less Important,Not Important,Less Important,Less Important,Important,Less Important,Less Important,Important
35 to 44,V1Y,Female,Less Important,Important,Very Important,Important,Less Important,Less Important,,Very Important,Important,Very Important
25 to 34,V1V,Male,Less Important,Important,Important,Less Important,Important,Less Important,,Very Important,Important,Important
25 to 34,V1Y,Female,Very Important,Important,Very Important,Important,Important,Important,Less Important,Very Important,Important,Important
35 to 44,V1V,Prefer not to disclose,Important,Very Important,Less Important,Very Important,Very Important,Important,Less Important,Very Important,Very Important,Very Important
25 to 34,V1W,Female,Important,Important,,Important,Less Important,Important,Important,Important,Important,Important
25 to 34,V1X,Prefer not to disclose,Very Important,Important,Very Important,Important,Very Important,Very Important,,Very Important,Very Important,Important
Prefer not to disclose,V1V,Prefer not to disclose,Very Important,Less Important,Important,Important,Less Important,Less Important,,Important,Less Important,Important
25 to 34,V1Y,Female,Very Important,Very Important,Less Important,Important,Less Important,Important,,Very Important,Important,Less Important
35 to 44,Other,Male,Less Important,Less Important,Very Important,Important,Not Important,Important,,Very Important,Important,Less Important
35 to 44,V1V,Female,Important,Very Important,Very Important,Important,Important,Important,,Important,Important,Important
25 to 34,Other,Female,Important,Important,Very Important,Less Important,Important,Important,Important,Important,Important,Important
35 to 44,V1V,Prefer not to disclose,Less Important,Very Important,Very Important,Very Important,Very Important,Less Important,,Less Important,Less Important,Less Important
25 to 34,Other,Female,Not Important,Less Important,Very Important,Very Important,Less Important,Very Important,,Very Important,Less Important,Very Important
25 to 34,V1X,Female,Important,Very Important,Not Important,Not Important,Less Important,Less Important,,Important,Less Important,Important
25 to 34,V1V,Prefer not to disclose,Important,Less Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Very Important
Prefer not to disclose,V1W,Male,Very Important,Very Important,Important,Very Important,Very Important,Important,,Very Important,Important,Very Important
35 to 44,V1W,Female,Very Important,Very Important,Important,Very Important,Less Important,Very Important,,Important,Important,Important
Prefer not to disclose,Other,Prefer not to disclose,Very Important,Important,Important,Very Important,Important,Less Important,,Important,Less Important,Very Important
35 to 44,V1Z,Female,Important,Less Important,,Important,Very Important,,,Very Important,Important,Less Important
19 to 24,V1Y,Female,Less Important,Important,Very Important,Very Important,Very Important,Very Important,Less Important,Very Important,Very Important,Very Important
45 to 54,V1X,Male,Important,Less Important,Very Important,Less Important,Less Important,Less Important,,Less Important,Less Important,Important
35 to 44,V1Y,Female,Less Important,Less Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Less Important
35 to 44,V1W,Female,Very Important,Very Important,Important,Less Important,Very Important,Less Important,,Less Important,Very Important,Important
65 and up,V1Z,Female,Very Important,Very Important,Important,Less Important,Very Important,Very Important,,Less Important,Important,Very Important
35 to 44,V1Y,Female,Very Important,Very Important,Less Important,Important,Important,Very Important,,Important,Very Important,Important
19 to 24,V1W,Female,Very Important,Less Important,Important,Very Important,Very Important,Important,,Very Important,Important,Very Important
25 to 34,V1X,Male,Very Important,Important,Important,Less Important,Less Important,,,Important,Important,Important
35 to 44,V1Y,Female,Very Important,Less Important,Very Important,Very Important,Less Important,Very Important,Less Important,Very Important,Important,Less Important
35 to 44,Other,Female,Less Important,Very Important,Very Important,Very Important,Very Important,Very Important,,Very Important,Very Important,Very Important
Prefer not to disclose,V1V,Prefer not to disclose,Very Important,Very Important,Less Important,Less Important,Very Important,Very Important,,Important,Important,Less Important
55 to 64,V1V,Female,Very Important,Important,Important,Important,Important,Very Important,Important,Very Important,Important,Very Important
55 to 64,V1V,Male,Very Important,Very Important,Very Important,Important,Very Important,Very Important,,Very Important,Very Important,Very Important
55 to 64,V1V,Female,Important,Less Important,Less Important,Less Important,Very Important,Important,,Important,Important,Important
55 to 64,V1Y,Female,Important,Very Important,Very Important,Important,Important,Important,Not Important,Very Important,Important,Important
55 to 64,Other,Male,Not Important,Very Important,Not Important,Not Important,Not Important,Not Important,,Not Important,Not Important,Not Important
55 to 64,V1V,Male,Very Important,Very Important,Less Important,Not Important,Very Important,,,Very Important,Not Important,Very Important
65 and up,V1Y,Female,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important
65 and up,V1Y,Female,Very Important,Very Important,Very Important,Less Important,Less Important,Less Important,Less Important,Less Important,Important,Less Important
35 to 44,V1W,Prefer not to disclose,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
65 and up,Other,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,Very Important,Very Important,Important
65 and up,V4T,Female,Very Important,Very Important,Less Important,Very Important,Very Important,Less Important,,Very Important,Very Important,Very Important
65 and up,V1V,Female,Very Important,Very Important,Less Important,,Very Important,Less Important,,Important,Important,Less Important
65 and up,V1Y,Male,Important,Very Important,Important,Less Important,Very Important,Important,,Important,Less Important,Important
65 and up,V1Z,Male,Important,Very Important,Important,Important,Very Important,Important,,Less Important,Important,Important
55 to 64,Other,Female,Important,Important,Less Important,Important,Important,Important,,Less Important,Less Important,Important
65 and up,Other,Female,,,,,Very Important,,,Very Important,,
65 and up,V4T,Male,Important,Important,Important,Less Important,Less Important,Important,,Very Important,Important,Very Important
65 and up,V1W,Male,Important,Important,Important,Less Important,Less Important,Less Important,,Important,Less Important,Important
35 to 44,Other,Female,Very Important,Very Important,Less Important,Important,Important,Less Important,,Very Important,Very Important,Less Important
45 to 54,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,Very Important,Very Important,Very Important
55 to 64,V1Y,Female,Less Important,Very Important,Less Important,Important,Less Important,Less Important,,Less Important,Less Important,Very Important
65 and up,V1X,Female,Important,Very Important,Very Important,Important,Important,Important,,Important,Important,Important
65 and up,Other,Female,Less Important,Very Important,Less Important,Less Important,Less Important,Less Important,,Not Important,Important,Important
65 and up,Other,Male,Less Important,Very Important,Very Important,Very Important,Very Important,Very Important,,Very Important,Less Important,Very Important
35 to 44,V1Y,Female,Important,Very Important,Very Important,Less Important,Important,Important,Not Important,Less Important,Important,Very Important
25 to 34,V1Y,Female,Very Important,Important,Very Important,Very Important,Very Important,Important,Less Important,Important,Very Important,Important
25 to 34,V1Y,Female,Important,Important,Very Important,Important,Very Important,Important,Less Important,Less Important,Important,Important
25 to 34,V1Z,Male,Important,Important,Very Important,Less Important,Less Important,Very Important,Less Important,Important,Important,Very Important
35 to 44,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Less Important,Less Important,Not Important,Less Important,Very Important,Very Important
35 to 44,V1Y,Female,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Less Important,Less Important,Very Important,Very Important
25 to 34,V1V,Female,Very Important,Important,Very Important,Important,Very Important,Not Important,Not Important,Important,Very Important,Important
25 to 34,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
35 to 44,V1Y,Female,Very Important,Very Important,Important,Not Important,Important,Important,Important,Not Important,Very Important,Not Important
45 to 54,V1W,Female,Important,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Important,Very Important
25 to 34,V1X,Female,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Less Important,Very Important,Very Important
65 and up,V1X,Non-binary,Not Important,Not Important,Not Important,Not Important,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important
65 and up,V1V,Female,Very Important,Very Important,Very Important,Important,Very Important,Less Important,Less Important,Very Important,Important,Very Important
45 to 54,V1X,Female,Less Important,Less Important,Very Important,Not Important,Less Important,Very Important,Very Important,Very Important,Important,Important
45 to 54,V1V,Male,Less Important,Less Important,Less Important,Not Important,Less Important,Less Important,Less Important,Important,Less Important,Less Important
55 to 64,V1Y,Prefer not to disclose,Important,Very Important,Very Important,Less Important,Important,Very Important,Not Important,Not Important,Very Important,Very Important
65 and up,V1Y,Male,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Less Important,Less Important,Less Important,Important
45 to 54,V1Y,Male,Important,Very Important,Important,Important,Very Important,Important,Important,Very Important,Important,Important
35 to 44,V1Z,Female,Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,Very Important
35 to 44,V4T,Female,Important,Very Important,Very Important,Very Important,Very Important,Important,Less Important,Very Important,Very Important,Very Important
19 to 24,Other,Male,Very Important,Very Important,Less Important,Important,Important,Not Important,Not Important,Important,Important,Important
19 to 24,V1V,Male,Important,Important,Very Important,Less Important,Important,Important,Important,Important,Very Important,Very Important
19 to 24,V1X,Male,Not Important,Not Important,Not Important,Not Important,Important,Important,Less Important,Important,Important,Important
19 to 24,V1V,Female,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,Very Important,Important
45 to 54,V1Y,Male,Less Important,Less Important,Very Important,Important,Very Important,Less Important,Not Important,Less Important,Important,Less Important
25 to 34,V1V,Female,Important,Important,Very Important,Important,Important,Less Important,Not Important,Important,Important,Very Important
55 to 64,V1X,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
55 to 64,V1Y,Female,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
25 to 34,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important
55 to 64,V1X,Female,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
Prefer not to disclose,Other,Female,Less Important,Very Important,Very Important,Very Important,Very Important,Important,Less Important,Less Important,Very Important,Very Important
65 and up,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
45 to 54,V1Y,Female,Less Important,Important,Very Important,Important,Important,Very Important,Important,Very Important,Less Important,Very Important
0 to 18,V1Y,Male,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important
Prefer not to disclose,V1Y,Prefer not to disclose,Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Less Important
65 and up,V1W,Prefer not to disclose,Important,Less Important,Not Important,Less Important,Very Important,Important,Very Important,Important,Very Important,Less Important
Prefer not to disclose,V1Y,Prefer not to disclose,Important,Less Important,Less Important,Important,Very Important,Important,Very Important,Very Important,Important,Less Important
65 and up,V1W,Prefer not to disclose,Very Important,Important,Less Important,Important,Less Important,Less Important,Very Important,Less Important,Very Important,Very Important
19 to 24,V4T,Female,Important,Less Important,Important,Less Important,Important,Less Important,Important,Important,Less Important,Important
35 to 44,V1V,Female,Very Important,Less Important,Less Important,Less Important,Very Important,Very Important,Very Important,Less Important,Less Important,Very Important
19 to 24,V1X,Male,Important,Important,Important,Important,Important,Very Important,Important,Important,Very Important,Very Important
25 to 34,V1Y,Female,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
45 to 54,V1Y,Male,Important,Less Important,Less Important,Not Important,Important,Less Important,Important,Very Important,Important,Important
45 to 54,V1W,Female,Important,Very Important,Important,Very Important,Important,Less Important,Very Important,,Less Important,Very Important
Prefer not to disclose,V1Y,Prefer not to disclose,,,,,,,Very Important,,,
Prefer not to disclose,V1Y,Prefer not to disclose,Important,Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Important
65 and up,V1X,Male,Important,Very Important,Very Important,Less Important,Important,Important,Important,Important,Important,Important
35 to 44,Other,Female,Important,Important,Important,Less Important,Not Important,Less Important,Important,Important,Important,Important
45 to 54,V1Y,Prefer not to disclose,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Important
65 and up,V1Y,Female,Important,Important,Important,Less Important,Less Important,Less Important,Less Important,Important,Important,Important
65 and up,Other,Prefer not to disclose,Very Important,Very Important,Very Important,Less Important,Less Important,,Less Important,Less Important,Less Important,Very Important
25 to 34,V1V,Male,Less Important,Important,Very Important,Not Important,Not Important,Not Important,Important,Important,Less Important,Very Important
55 to 64,V1Y,Female,Very Important,Very Important,Important,Important,Very Important,Important,Important,Important,Important,Very Important
Prefer not to disclose,V1Y,Prefer not to disclose,Important,Important,Less Important,Less Important,Important,Very Important,,Very Important,,
55 to 64,Other,Male,Very Important,Very Important,Very Important,Not Important,Not Important,Less Important,Less Important,Very Important,Very Important,Important
25 to 34,V1Y,Female,Very Important,Important,Important,Not Important,Very Important,Important,Less Important,Very Important,Important,Not Important
25 to 34,V1Y,Male,Very Important,Very Important,Important,Less Important,Less Important,Less Important,Less Important,Less Important,Less Important,Important
65 and up,V1V,Female,Important,Important,Very Important,Less Important,Important,Important,Not Important,Important,Not Important,Important
25 to 34,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
65 and up,V1Y,Female,Less Important,Important,Important,Less Important,Less Important,Not Important,Important,Important,Important,Important
65 and up,V1Y,Female,Important,Very Important,Important,Important,Very Important,Important,Less Important,Very Important,Important,Important
65 and up,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Less Important,Not Important,Very Important,Not Important,Important
55 to 64,V1W,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Less Important,Important,Very Important,Very Important
25 to 34,V1V,Female,Very Important,Very Important,Very Important,Important,Important,Less Important,Less Important,Important,Important,Important
25 to 34,V1V,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Less Important,Very Important,Very Important
65 and up,V1W,Female,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important
55 to 64,V1Y,Male,Important,Very Important,Important,Very Important,Very Important,Important,Less Important,Very Important,Important,Very Important
45 to 54,V1X,Female,Important,Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,Very Important
65 and up,V1Z,Female,Very Important,Very Important,Very Important,Less Important,Very Important,Important,Not Important,Very Important,Very Important,Important
25 to 34,Other,Male,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Less Important,Very Important,Important,Important
55 to 64,Other,Male,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important
25 to 34,V1Y,Male,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Not Important,Not Important
Prefer not to disclose,V1Y,Prefer not to disclose,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
25 to 34,V1Y,Male,,,Important,Less Important,Important,Less Important,Not Important,Important,Important,Important
35 to 44,V4T,Female,Important,Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Very Important
35 to 44,V1Y,Prefer not to disclose,Important,Important,Less Important,Less Important,Important,Less Important,Important,Important,Important,Important
25 to 34,V1V,Male,Less Important,Less Important,Very Important,Very Important,Less Important,Less Important,Very Important,Important,Important,Important
45 to 54,V1W,Male,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Very Important,Very Important
35 to 44,V1Y,Female,Important,Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Important
35 to 44,V1V,Female,Important,Important,Important,Important,Important,Important,Less Important,Important,Important,Important
35 to 44,V1Y,Male,Less Important,Less Important,Very Important,Less Important,Very Important,,Less Important,Less Important,,
25 to 34,V1Y,Male,Less Important,Less Important,Less Important,Less Important,Less Important,Less Important,Less Important,Very Important,Important,Important
Prefer not to disclose,V1Y,Female,Very Important,Less Important,Very Important,Very Important,Less Important,Very Important,Less Important,Less Important,Less Important,Less Important
Prefer not to disclose,V1Y,Female,Less Important,Less Important,Important,Important,Very Important,Very Important,Important,Important,Important,Very Important
19 to 24,Other,Female,Important,Less Important,Not Important,Important,Less Important,Important,Less Important,Very Important,Important,Very Important
25 to 34,V1Y,Female,Very Important,Very Important,Very Important,Important,Very Important,Important,Less Important,Less Important,Important,Important
19 to 24,V1Y,Prefer not to disclose,Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important
25 to 34,V1V,Male,Important,Very Important,Less Important,Important,Important,Very Important,Important,Very Important,Very Important,Important
19 to 24,V1V,Male,Important,Less Important,Less Important,Important,Less Important,Important,Important,Less Important,Very Important,Not Important
19 to 24,V1W,Male,Important,Very Important,Important,Less Important,Important,Very Important,Not Important,Important,Very Important,Very Important
45 to 54,V1W,Female,,Less Important,Less Important,Important,Very Important,Very Important,Less Important,Very Important,Very Important,Very Important
45 to 54,V1W,Male,Important,Important,Less Important,Not Important,Less Important,Less Important,Important,Important,Important,Important
19 to 24,V1V,Male,Less Important,Important,Less Important,Very Important,Important,Important,Very Important,Very Important,Important,Important
19 to 24,V1V,Female,Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Very Important
19 to 24,V1V,Female,Very Important,Less Important,Important,Very Important,Less Important,Very Important,Important,Important,Very Important,Less Important
Prefer not to disclose,V1Y,Prefer not to disclose,Very Important,Very Important,Less Important,Very Important,Less Important,Very Important,Very Important,Important,Very Important,Very Important
19 to 24,V1V,Female,Important,Very Important,Very Important,Important,Less Important,Less Important,Very Important,Not Important,Very Important,Very Important
0 to 18,Other,Female,Not Important,Less Important,Important,Very Important,Very Important,Very Important,Not Important,Less Important,Very Important,Very Important
19 to 24,V1V,Female,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important
45 to 54,V1Y,Female,Very Important,Very Important,Very Important,Less Important,Important,Very Important,Less Important,Important,Important,Very Important
65 and up,V1X,Male,Less Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Important,Important
0 to 18,V1Y,Prefer not to disclose,Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Important
65 and up,V1W,Female,Very Important,Less Important,Very Important,Less Important,Less Important,Less Important,Very Important,Very Important,Less Important,Less Important
65 and up,V1W,Male,Important,Very Important,Important,,,Important,Important,Important,Important,Important
Prefer not to disclose,Other,Female,Important,Important,Important,Important,Very Important,Very Important,Less Important,Important,Less Important,Very Important
Prefer not to disclose,V1W,Prefer not to disclose,Important,Important,Very Important,Not Important,Very Important,Very Important,Less Important,Important,Very Important,Very Important
65 and up,V1Y,Female,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
55 to 64,V1Y,Female,,Very Important,Very Important,Important,Very Important,Very Important,Less Important,Very Important,Very Important,Very Important
45 to 54,V1Y,Female,Very Important,Important,Very Important,Less Important,Less Important,Important,Less Important,Very Important,Important,Very Important
35 to 44,V1Y,Male,Very Important,Important,Very Important,Less Important,Very Important,Important,Less Important,Important,Less Important,Very Important
25 to 34,V1Y,Male,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important
19 to 24,V1W,Female,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Less Important,Very Important,Very Important,Very Important
25 to 34,V1Y,Male,Less Important,,Less Important,Less Important,Important,Important,Important,Very Important,Important,Very Important
Prefer not to disclose,V1Y,Male,Not Important,Important,Not Important,Not Important,Not Important,Important,Not Important,Important,Important,Important
Prefer not to disclose,V1Z,Female,Very Important,Very Important,Very Important,Very Important,Less Important,Very Important,Very Important,Very Important,Very Important,Very Important
55 to 64,V1X,Female,Very Important,Less Important,Less Important,Very Important,Very Important,Very Important,Less Important,Very Important,Very Important,Less Important
19 to 24,V1X,Male,Very Important,Important,Less Important,Important,Very Important,Less Important,Very Important,Very Important,Less Important,Less Important
25 to 34,V1X,Female,Important,Important,Very Important,Important,Very Important,Important,Less Important,Very Important,Less Important,Important
19 to 24,V1V,Female,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important
55 to 64,V1W,Female,Very Important,Very Important,Important,Important,Very Important,Less Important,Important,Important,Important,Important
65 and up,V1V,Female,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important
55 to 64,V1Y,Male,Important,Very Important,Very Important,Important,Important,Important,Not Important,Important,Important,Important
65 and up,V1V,Male,Very Important,Important,Important,Very Important,Important,Important,Important,Very Important,Very Important,Important
25 to 34,V1Y,Male,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
55 to 64,Other,Female,Important,Important,Important,Less Important,Less Important,Important,Less Important,Very Important,Important,Important
25 to 34,V1W,Female,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Less Important,Very Important,Very Important,Very Important
55 to 64,Other,Female,Important,Very Important,Not Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important
Prefer not to disclose,Other,Prefer not to disclose,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Important,Very Important
Prefer not to disclose,Other,Prefer not to disclose,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important
35 to 44,V1W,Male,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important
45 to 54,V1Y,Male,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Less Important,Important,Very Important
35 to 44,V1Y,Female,Very Important,Very Important,Very Important,Less Important,Very Important,Important,Less Important,Less Important,Very Important,Very Important
35 to 44,V1Y,Female,Less Important,Important,Important,Less Important,Very Important,Very Important,Less Important,Important,Important,Important
35 to 44,V1V,Female,Important,Less Important,Important,,Important,Important,Not Important,Important,Important,Less Important
45 to 54,V1V,Male,Important,Very Important,Less Important,Important,Very Important,Important,Not Important,Very Important,Important,Important
35 to 44,V1X,Female,Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important
25 to 34,V1Y,Male,Important,Important,Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important
