CleanedResponse,Response,Topic_LDA,X,Y
tradition food language history story memory music theater dance,"Culture is a part of who you are. It's traditions, food, <br>language, history, stories, memories, music, theater and dance. ",1,-11.92961,-8.81819
manifestation creative impulse potentially historic socially inform,"Manifestation of creative impulses, potentially historic or socially informed ",2,6.1808605,0.024316408
live detail interested pass next generation may limit art music visual art literature perform art theater move philosophy intellectual achievement technology architecture build maintain home garden,"All the ways that we live, the details of our lives <br>and things that we're interested in and the things we <br>pass on to the next generation. This may include but <br>not be limited to the arts: music, visual arts, literature, <br>performing arts (theater but also movies), philosophy, intellectual achievement & <br>technology... It also includes architecture, how we build and maintain <br>our homes and gardens ",1,-11.381918,-11.334833
creation whether physical intellectual share experience enjoyment,"Creations, whether physical or intellectual, that bring groups of people together <br>to share in the experience and enjoyment ",2,6.189719,0.6546665
category phenomenon occur,A category of phenomenon occurring within a group. ,3,12.420328,-26.06512
community participate community,Activities that the community participate in that help to define the <br>community as a whole. ,1,-9.415603,-1.4731636
entertainment enrichment historical remembrance celebration uniqueness especially pop context,"Entertainment enrichment. HIstorical remembrance. Celebration of uniqueness, especially in the pop <br>culture context. ",2,6.2539105,-0.21777964
behavioursbelief especially relation art social form academic,"the behaviours/beliefs of a group, especially in relation to arts, social <br>norms, academics ",1,-11.986445,-7.044157
favor art embrace celebrated activate community,"Culture is all flavors of the arts and the ways they <br>are embraced, celebrated and activated in our community. ",2,5.5442004,-0.27694666
accord heritage,Things we like to do according to our heritage. ,3,12.221332,-25.108044
art intellectual achievement recreation,Arts and other intellectual achievements and recreation. ,1,1.6337849,-0.44214424
diversity experience belief tradition,'- diversity - experience - beliefs - traditions ,3,13.290541,-26.396875
learn experience,Different things that we learn and experience about different people. ,3,12.388568,-25.078949
expressionart base ethnicity age,"'- the expression/art of different groups of people (based on ethnicity, <br>age, etc.) ",3,12.837945,-26.62757
relate another sense community,"""Culture"" the way groups of people relate to one another. A <br>sense of community. ",1,-11.074994,-2.9351473
dance music art theatre,"Dance, music, art, theatre ",1,-11.539547,-3.2664862
artscommunity,Arts/community ,1,-8.624417,-1.2114797
music sport theatre entertainment opportunity involvement,"music, sports, theatre - entertainment and opportunities for involvement ",1,-11.770972,-6.5605006
theatremusic live play,Kelowna Theatre Music Live Plays ,2,5.619112,0.6138326
canada lucky diversity truly mosaic ethnic interest,In Canada we are very lucky. We have a diversity of <br>cultures. We truly are a MOSAIC of cultures and ethnic <br>interests. ,3,13.525613,-27.145576
music dancing art,"'- cuisine, music, dancing - art ",2,3.0846303,-0.24493943
similar,Activities that a group of similar people do ,1,-8.612169,-1.2156252
enjoyment intellectual growth acquisition music painting sculpture theatre dance either locally universal,"Culture is the enjoyment, intellectual growth, and acquisition of music, painting, <br>sculpture, theatre , and dance, either locally or universal. ",2,4.3505726,-0.15052019
pretty much everything family religion sport art tend ethnicity ethic education environment,"pretty much everything! family, religion, sport, art, trends, ethnicities, values & <br>ethics, education, environment ",1,-11.949756,-9.443299
purposeart festival heritage practice museum discussion,"For this purpose: Arts, festivals, heritage practices, museums, events, discussions ",2,5.496187,0.99883807
common belief identity,As a common belief and identity ,3,12.2092495,-24.509342
indefinable feeling sum emotional artistic professional city,"Culture is that indefinable feeling of a place. It's the sum <br>of the emotional, artistic, and professional parts of a city. <br>",3,13.7743025,-27.03936
art manifestation human intellectual achievement collectively sum attitude custom belief distinguish another transmit language material object ritual institution art generation next,"Way of life The arts and other manifestations of human intellectual <br>achievement regarded collectively. The sum of attitudes, customs, and beliefs <br>that distinguishes one group of people from another. Culture is <br>transmitted, through language, material objects, ritual, institutions, and art, from <br>one generation to the next. ",1,-9.469141,-4.755572
naturally occur share,Naturally occurring shared values. ,3,12.376963,-25.624868
ritual custom behavior food language art,"Culture is rituals, customs, behaviors, food, language and art of a <br>group. ",3,13.374884,-25.88596
anything add,Anything that adds value to ones life ,2,5.0773873,0.5382482
sharing community goal fine art music,A sharing of community values and goals through the fine arts <br>including music. ,1,-11.355377,-5.0240917
festival entertainment art theatre feel happy,"Festivals, Entertainment, The Arts, Theatre, etc., Culture makes people feel happy. <br>",1,-12.025439,-5.842182
characteristic inclusive language religion social habit music art,"characteristics of a group of people inclusive of language, religion, cuisine, <br>social habits, music and arts ",1,-11.830982,-8.034836
history,History ,1,-8.675069,-1.2150102
open access type art music performance ethnicity celebration ceremoni food interaction openmind inclusive diverse support free speech democratic civic participation allow alternative perspective,"Open access to all types of art, culture, music, performance, ethnicities, <br>celebrations, ceremonies, events, food, and interaction. Open-minded, inclusive, diverse and <br>supports free speech, democratic and civic participation, and allows alternative <br>perspectives and ideas. ",2,6.6500974,0.455766
experience learn something new normally,The experience of learning something new that is not normally part <br>of your life. ,3,12.676022,-26.897972
community unique special collective,"what makes each community unique and special, a collective ",1,-11.125464,-2.7582192
broadly speak population manifest belief,"Broadly speaking, the ways in which a population manifests its beliefs <br>and values. ",3,13.22612,-26.911337
soul city,The soul of a city. ,1,-9.401313,-1.4872209
allow identify,Culture allows people to identify together ,2,5.3676867,0.6169633
custom socialist relate,The customs and how people socialize and relate to each other. <br>,3,12.514869,-25.73083
personality human identify cultural,the personality of human activity from one group that can identify <br>themselves as 'one culture' or a cultural group ,2,5.754704,0.16600189
art museum art gallery library,"The arts, museums, art galleries, libraries ",2,5.3781037,-0.09977929
art history music society add depth,Art. History. Music. Any part of our society that adds depth <br>to life ,1,-12.07414,-4.355233
anything represent viewperspectivethought local society,anything that represents a view/perspective/thought of local society ,1,-12.04837,-3.174266
vagrant create sense community thou program service,"A vibrant culture helps create a sense of community thru the <br>programs, activities and services ",3,9.982644,-21.879436
promote celebrate art theatre music dance urinary endeavor ethnic heritagediversity personal expression passionate hobby,"activities that promote and celebrate arts, theatre, music, dance, culinary endeavors <br>+ ethnic heritage/diversity. Activities of personal expression and passionate hobbies <br>in life. ",1,-11.591469,-10.144498
waystradition participate,Different ways/traditions that people participate in ,2,5.075455,0.4416996
art heritage alive,"arts, heritage, people getting together enjoying events + parks alive ",3,11.901123,-24.502224
music art theatre dance,"Music, arts, theatre, dance. ",1,-11.524767,-3.2869074
basic tradition collection,the basic traditions and collections of activities that define a group <br>of people. ,3,12.569332,-25.796434
something exist,Something that does not exist in Kelowna ,2,5.1692457,0.6054012
immersion theatre art music community,"Immersion of theatre, art and music within one's life and community <br>",1,-11.728871,-4.18763
celebrate canadian celebrate positive manner,Celebrating what makes people Canadian and brings them together as well <br>as celebrating where they come from in a positive manner <br>,3,13.137501,-26.179585
art humanitiesliterature music painting perform art,"the arts, humanities,literature, music, painting, performing arts ",2,4.2534513,-0.043688178
sing concert hall church dance dance study art art gallery play theater opera symphony musical music pus restaurant jazz jazz jam canada day festival alive whether participate actively soak indoor outdoor season year need soul,"Singing, concert halls and churches, dancing, dance studios, art, art galleries, <br>plays, theaters, opera, symphony, musicals, music, pubs and restaurants, jazz, <br>Jazz Jam, Canada Day - Festivals Kelowna, Parks Alive - <br>whether participating actively or just soaking it all in. Indoors, <br>outdoors. Any season of the year. It feeds the soul. <br>",1,-11.494233,-11.344068
soft fine side beyond mass basic hierarchy need individual community beyond vision dream motivate spire love neighbor appreciate blessing smell rose often manifest via community support celebration fine art spirituality history tradition story music celebration hero,"The softer, finer side of life beyond Maslo's basic hierarchy of <br>needs. Culture defines who we are as individuals, and as <br>a community - beyond our values and visions and dreams. <br>It brings us together, and motivates us to aspire to <br>love our neighbor, appreciate our blessings, and smell the roses! <br>Culture often manifests itself via our community values, support and <br>celebration of FINE ART, SPIRITUALITY, HISTORY, TRADITIONS, STORIES, MUSIC, CELEBRATIONS, <br>and HEROES. ",1,-11.286445,-11.190831
characteristic knowledge particular encompass language religion social habit music art,"Culture is the characteristics and knowledge of a particular group of <br>people, encompassing language, religion, cuisine, social habits, music and arts. <br>",1,-11.747877,-9.317024
human communicate celebrate share tradition belief art language story architecture music dance,"All that makes and defines us as ""human"" - how we <br>communicate, celebrate, share, traditions, values, beliefs, arts, language, stories, architecture, <br>music, dance ",1,-11.960192,-9.546872
arewhat uniquespecial live perhaps differentiate live elsewhere live year give find open welcome fill opportunity pursue love still little white diversify entrepreneurial still go celebrate honour shout cultural,"Culture is who we are...what makes Kelowna unique/special and helps to <br>define those who live here, and perhaps differentiate us here <br>from others living elsewhere. Having only lived here one year, <br>I've found Kelowna's culture open, welcoming, filled with opportunities to <br>pursue what I love, still a little too white but <br>getting more diversified, entrepreneurial, still having a ways to go <br>to celebrate, honour, and shout about the cultural events, places, <br>people we have here. ",2,6.8483953,-0.0074278614
mixture ethnic food entertainment family lifestyle,Mixture of ethnic groups food entertainment family lifestyle ,1,-11.713311,-6.4211636
heart mind soul spirit growth,"Heart, mind, soul, spirit, growth ",1,-11.931235,-5.2737975
society sense view world,Societal lense to through which to view the world ,1,-11.410033,-3.5306072
community soul develop deep connection community resident,Culture is what makes a community have soul and develops deep <br>connection to the community by its residents. ,2,3.865451,-0.12831892
collective term give initiative promote great understanding community world large intellectual achievement encompass fine art music dance theatre literature history philosophy individual organization level begin explore world perspective large nonprofit organization form pillar cultural understanding okanagan would say food drink form,"Culture is the collective term given to activities and initiatives that <br>promote a greater understanding of our community and the world <br>at large through intellectual achievements. It encompasses fine art, music, <br>dance, theatre, literature, history and philosophy. Culture should include individuals <br>and organizations at all levels, from those who are just <br>beginning to explore their world perspectives through to large non-profit <br>organizations that form the pillars of our cultural understanding. In <br>Kelowna and the Okanagan, I would say that food and <br>drink also form part of our culture. ",1,-11.280577,-10.828011
specific style art associate location,A specific style of art that is associated with a location <br>,1,-11.722533,-4.6323824
human specifically community create connection individual,"Human activity, specifically community activity, that creates connection between individuals ",2,3.540231,-0.16192636
celebrate history art creativity diversity community,"Culture is activities that celebrate history, arts, creativity and diversity of <br>our community. ",1,-8.0698395,-1.5682821
commonly recognize social priority connect community benefit thereof foster sense,Commonly recognized social priorities through which to connect with one's own <br>community which benefits the members thereof and fosters a sense <br>of belonging. ,1,-11.823657,-9.305361
invisible force community support shape individual interaction physical component community build expectation,The invisible forces in a community that support and shape individual <br>and group interactions with others and the physical components of <br>a community. Culture helps build people's expectations of themselves and <br>others. ,2,6.1215143,-0.3121441
various influence provide exposure experience new thinking,"The various events and activities that influence our lives by providing <br>exposure to different experiences, new ways of thinking and more. <br>",2,6.2833323,0.74729526
entertainment visible art community lesson,"Entertainment, Visible art in the community, lessons, ",1,-11.855531,-3.9580588
cover broad range interest enrich understanding example music fine art write theatre film exploration understand food religion history ethnic society,"Culture covers a broad range of interests and activities that enrich <br>our lives and our understanding of others. Examples include: music, <br>fine arts, writing, theatre, film, etc. Culture can also include <br>exploration and better understanding the culture (food, religion, ideas, history, <br>etc.) of ethnic groups within our society. ",3,9.709939,-21.512114
local indigenous settle tourist base historical current past time provide color flavour inspiration education entertainment community,"Local indigenous, settled and tourist based historical and current activities and <br>past times that provide color, flavour, inspiration, education and entertainment <br>to our community. ",1,-11.808604,-10.385242
city sum combination many factor visual perform art beautiful attractive building excellent city element combine manifest unique aspect give generally mean emphasis local artist performer artisan great interesting,"Culture of a city is the sum of a combination of <br>many factors. For me these include, visual and performing arts <br>as well as beautiful spaces like parks and attractive buildings. <br>What makes for excellent culture in a city is when <br>these elements combine in a way that manifest the unique <br>aspects of a given place. Generally this means an emphasis <br>on local artists, performers and artisans being enjoyed in great <br>and interesting spaces. ",2,6.9756618,0.30873048
mean creativity diversity expand mind promote knowledge sharing diversity create empty,Culture means creativity and diversity. it expands the mind and promotes <br>knowledge sharing and diversity and creates empathy. ,1,9.550186,-21.32683
city visual perform art beautiful attractive building mean emphasis local artist performer artisan great interesting,"Culture of a city include, visual and performing arts as well <br>as beautiful spaces like parks and attractive buildings. For me <br>this means an emphasis on local artists, performers and artisans <br>being enjoyed in great and interesting spaces. ",2,6.737685,0.30650407
practice pertain either tradition teach generation new introduce population dynamic change take form art visual perform education museum demonstration performance sporting enhance lifestyle opportunity particular community regardless size location,"Culture is the practice of activities pertaining to either tradition or <br>activities taught through generations or new ideas introduced as population <br>dynamics change. It can take the form of arts (visual, <br>performing), education (museums, demonstrations, performances), sport...any activity that enhances the <br>lifestyle and opportunities for a particular community regardless of size <br>or location. ",1,-11.256742,-10.662293
history art,History by Art. ,1,-9.449182,-1.5127004
wide sweeping question easily answer general set belief majority participate believe society move forward interest involve large may mixture many subculture participate belief interest church ethnic sport art entertainment,"This is a very wide sweeping question and not easily answered. <br>In general culture is a set of beliefs that the <br>majority participate in and believe to be the way a <br>society moves forward in the best interest of all involved. <br>Within this large culture may be a mixture of many <br>sub-cultures that participate in their own beliefs and interests such <br>as church, ethnic groups, sports groups, arts groups, entertainment groups <br>etc. ",1,-11.7178335,-11.250947
creative product community reflect civilization,Best creative products and ideas of the community reflecting civilization as <br>we know it here in 2018. ,1,-12.118488,-4.637102
reflection taste iting cake rich,"the reflection of our tastes, values and lives in the things <br>we value. The ""icing on the cake"" that makes life <br>rich ",3,12.981719,-27.099035
anything creative inspire connect transform share experience build community cultural experience must accessible cultural impart monetary gain must financially accessible ak free pay otherwise elicit game play privilege,"Culture is anything creative that inspires & connects people to each <br>other, transforming our shared experiences while building community. Cultural experiences <br>must be accessible to all peoples. Cultural impacts cannot be <br>defined by monetary gain and must be financially accessible aka <br>free or pay what you can. Otherwise it is an <br>elitist game played by people with privilege. ",3,13.535125,-27.499723
familiarity fine art visual art theater music certain society live,"familiarity with fine arts, including visual art, theater, music, etc. as <br>it pertains to the society in which you live ",1,-11.875147,-8.875062
broadly body tradition assumption work art organize artist laypeople participate purpose entertainment enjoyment education earn live individual free determine relationship mean,"Broadly, culture is a body of traditions, assumptions, works of art <br>and organized activities in which artists and laypeople participate for <br>the purpose of entertainment, enjoyment, education and earning a living. <br>Each individual is free to determine their relationship to culture <br>and what it means to them. ",2,6.7869797,-0.17837991
relate art heritage program show artistic expression kind heritage site art facility indoor outdoor church bar theater ninety,"Culture is all things related to the arts, heritage and culture <br>- including programs, shows, artistic expression of all kinds, heritage <br>sites, arts facilities (any place culture can be enjoyed - <br>indoor or outdoor e.g. churches, bars, theatres, wineries). ",1,-9.019027,-3.4606378
community,Culture is about the ways in which community comes together. ,1,-8.676864,-1.2106966
art entertainment art gallery opera ballet theatre music art education library film,"Arts & entertainment: Art gallery, opera, ballet, theatre, music, arts education, <br>libraries, film ",1,-11.815092,-8.933695
engage community take,"Culture is life, how we engage in our community and the <br>activities that take place within ",1,-10.36381,-2.081265
