Organization,Postal Code,Latitude,Longitude,Response,CleanedResponse,Sentiment,Score,Cluster,ClusterText,X,Y
Okanagan Chinese Canadian Association,V1Y 7W8,49.889845,-119.48961499999999,"kelowna has a history of multi-culturalism. there was a multi-culture centre. <br>not having it is a big message. no home for <br>immigrants or people with diverse backgrounds. Thats why our group <br>is working so hard for this. Need a multi-cultural centre <br>where ppl who share the same experience, is key, some <br>centres not very welcoming hold tight on immigrant funding. we <br>have a concrete plan or just the chinese organization, ok <br>is official partner. but other organizations may not be a <br>part of this we have matching funds. it can happen <br>any time. just need to buy property. we can create <br>share space with these other organizations. we have to work <br>together share with other organizations dont know details on how <br>we are going to operate it, almost there. havent closed <br>anything. ",kelowna history multiculturalism   multiculture centre big message   home immigrant people diverse background   hat group work hard   need multicultural centre pp share experience key centre welcome hold tight immigrant funding   concrete plan chinese organization ok official partner organization may part watch fund happen time need buy property create share space organization   work together share organization not know detail go operate almost close anything  ,Positive,0.7653,1,Facilities should be more affordable,1.835979,-1.4439573
Okanagan Symphony Orchestra,V1Y 6P6,49.886092,-119.48501399999999,new theatre its time. ,new theatre   time,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.4084852,0.03547677
Okanagan Symphony Orchestra,V1Y 6P6,49.886092,-119.48501399999999,"city has to lead this, we would want to be a <br>part of the planning. if redevelop on current site. we <br>would out of business put us under need consultation with <br>user groups on phasing the redevelopment. lots of communities do <br>a referendum what would kelowna do? they have to be <br>a leader. there is federal money for these projects. need <br>to start putting the dream in place. there is a <br>lot of development in the city and wealth they could <br>tap into. we couldnt lead but could partner. dream!!. RCA <br>is beautiful, could expand, and is well used. KCC is <br>not a space people want to go they have no <br>alternative, no welcoming. ",city lead would want part planning   develop current site would business   put -PRON- need consultation user group chase development   lot community referendum would kelowna leader   federal money project   need start put dream place   lot development city wealth could tap   lead could partner   dream   rca beautiful could expand well use   kcc space people want go alternative welcoming  ,Positive,0.9167,1,Facilities should be more affordable,0.90941715,0.19306871
Okanagan Symphony Orchestra,V1Y 6P6,49.886092,-119.48501399999999,"theatre space - proper pit is needed KCC has impromptu pit. <br>ballet and opera need a pit we had to use <br>scaffolding for a collaborative performance 40k to. couldnt afford to <br>collaborate, facility doesnt allow for it. KCC - hours for <br>technicians. means we get one tech at dress rehearsal and <br>different tech for show end up hiring a separate sound <br>person - need flexibility on staffing. ",theatre space   proper pit need kcc impromptu pit ballet opera need pit use scaffolding collaboration performance   afford collaborate facility allow   kcc   hour technician mean get one teach dress rehearsal different teach show end hire separate sound person   need flexibility stand  ,Positive,0.1862,2,Venues need to be more accessible and subsidized for artists,1.6439778,1.4250526
Centre Cultural Francophone de L'Okanagan,V1Y 6P5,49.886596999999995,-119.485127,"mid-sized theatre space w high ceilings for circus performance - we <br>dont offer it because no venue, go to vernon instead <br>",midsized theatre space w high ceiling circus performance   not offer venue go vernon instead,Negative,-0.296,2,Venues need to be more accessible and subsidized for artists,0.6435944,1.0916631
Centre Cultural Francophone de L'Okanagan,V1Y 6P5,49.886596999999995,-119.485127,"the city should lead the dev of mid-sized theatre space, get <br>input from all orgs, be realistic about what tenantsusers can <br>pay what we can charge, pay the artists, improvement fees, <br>etc. if we get a theatre, will it be affordable <br>for all not just large out of town productions?. ",city lead de midsized theatre space get input org realistic tenantsuser pay charge pay artist improvement fee etc   get theatre unfordable large town production  ,Positive,0.296,3,Develop smaller theatres and cultural facilities in the city,1.1660097,1.3065095
Centre Cultural Francophone de L'Okanagan,V1Y 6P5,49.886596999999995,-119.485127,"multi-functional spaces would be key. access to equipment shared equipment. innovation <br>centre is impossible to access, and weird layout - we <br>were excited but get shut down every time because its <br>for those who are renting there. need to have other <br>orgs be able to use spaces that are paid by <br>public dollars. we would be willing to pitch in and <br>buy part of a multi-tenanted building. ",multifunctional space would key   access equipment   share equipment   innovation centre impossible access weird layout   excited get shut every time rent   need org able use space pay public dollar   would willing pitch buy part multitenanted building  ,Positive,0.431,3,Develop smaller theatres and cultural facilities in the city,0.81295913,0.24300104
Ki-Lo-Nah Friendship Centre,V1Y 6J3,49.884515,-119.49505900000001,"housing is a problem here. more space for organizations like us <br>community resources, to what we do all of us could <br>use more space, maybe spaces where several organizations can come <br>together to deliver services like the foundry a one stop <br>shop. ",housing problem   space organization like -PRON- community resource -PRON- could use space maybe space several organization come together deliver service like foundry one stop shop  ,Positive,0.0258,1,Facilities should be more affordable,-0.11480488,-0.5884492
Ki-Lo-Nah Friendship Centre,V1Y 6J3,49.884515,-119.49505900000001,"if they own buildings, that arent being used, they can provide <br>space. they own a lot of land and buildings - <br>old RCMP building. ",building agent use provide space   lot land building   old rcmp building  ,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,-0.10603617,0.3637353
Central Okanagan Heritage Society,V1Y 8V3,49.870376,-119.478683,"presentation space, meeting space, performance space, rehearsal space - issues for <br>a lot of organizations, and affordability of space. so many <br>in the community are just starting out. and storage!. ",presentation space meeting space performance space rehearsal space   issue lot organization affordability space   many community start   storage  ,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,-0.009802506,0.2953955
Central Okanagan Heritage Society,V1Y 8V3,49.870376,-119.478683,"they have better awareness. staff is taking more time to be <br>aware, this is encouraging, that they are listening. there needs <br>to be lenience to challenges. see so many ppl leaving <br>the area because they cant access space - they move <br>on. Reed Hall - should be on the radar. we <br>hang our value on ballet and opera - high level <br>of creative communities, tend not to have space for smaller <br>groups to have their expression. RCA is starting to open <br>up to other groups. could learn from lake country. ",good awareness   staff take time aware encourage listen   need sentence challenge   see many pp leave area access space   move   need   rear   hang value ballet opera   high level creative community tend space small group expression   rca start open group   could learn lake country  ,Positive,0.8979,1,Facilities should be more affordable,0.19050997,-0.50563604
Central Okanagan Heritage Society,V1Y 8V3,49.870376,-119.478683,"appreciate the opportunity to provide input!. community starting to feature more <br>inclusive heritage community. there was a time that this community <br>was welcoming to me, but that is changing. inclusive heritage <br>is a key pillar of an inclusive community - its <br>who we are stories are often so similar - creates <br>stronger bonds, more supportive and see less negative fleck about <br>whatever it is, creates more acceptance where there is respect. <br>",appreciate opportunity provide input   community start feature inclusive heritage community   time community welcome change   inclusive heritage key pillar inclusive community   story often similar   create strong bond suppurative see less negative fleck whatev create acceptance respect  ,Positive,0.9688,1,Facilities should be more affordable,2.4656773,-2.1959221
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,arts groups needing space ,art group need space,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.465859,-0.039592147
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,co-location is great ,coloration great,Positive,0.6249,3,Develop smaller theatres and cultural facilities in the city,1.1408284,0.24019322
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,"some orgs are active and fantastic, and collaboration is awesome ",org active fantastic collaboration awesome,Positive,0.886,3,Develop smaller theatres and cultural facilities in the city,1.1591312,0.5231179
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,organizations not using. ,organization use,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.7943756,0.07495019
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,making sure we are empowered to make changes to the facility <br>use ,make sure empower make change facility use,Positive,0.3182,1,Facilities should be more affordable,0.058636732,-0.55836344
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,"small town, ppl scream to city hall on any issue ",small town pp scream city hall issue,Negative,-0.4019,1,Facilities should be more affordable,0.023957968,0.07406108
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,"minority groups, indigenous groups dont have sense of entitlement to use <br>of space ",minority group indigenous group not sense entitlement use space,Neutral,0.0,1,Facilities should be more affordable,1.0416185,-0.30414367
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,settlement groups are highly entitled and demanding for space ,settlement group highly entitled demand space,Positive,0.0591,3,Develop smaller theatres and cultural facilities in the city,1.4810188,0.018772423
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,"diversity part of mandate - ensure that sense of entitlement is <br>distributed across groups. big structural issue that we are addressing <br>as an organization, but needs sector to work together to <br>work on this. ",diversity part mandate   ensure sense entitlement distribute across group   big structural issue address organization need sector work together work,Positive,0.2023,1,Facilities should be more affordable,0.6659699,-0.8771001
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,city should be spearheading this and make this an acknowledged by <br>city ,city spearhead make acknowledge city,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1460524,0.13317394
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,"unfair booking RCA schedule. chamber music kelowna, understood when brought up <br>",unfair booking rca schedule chamber music kelowna understand bring,Negative,-0.4767,1,Facilities should be more affordable,-0.09479296,-0.42018202
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,"most communities assume they own it. need to have equitable have <br>it, and one group should not have full entitlement to <br>it. ",community assume need equitable one group full entitlement,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1826502,-0.3129697
Rotary Centre for the Arts,V1Y 6Z1,49.891745,-119.494207,intergenerational trauma of indigenous people re there was a massacre or <br>hangings in this location so there is already a barrier <br>to coming to this area let alone setting foot into <br>the building ,intergenerational trauma indigenous people massacre hanging location already barrier come area let alone set foot building,Negative,-0.6486,3,Develop smaller theatres and cultural facilities in the city,0.6492424,-0.13944004
Kelowna Museums Society,V1Y 6S7,49.887027,-119.497355,"opportunity with art walk, great thing for visitors. to walk between <br>them, currently dodgy. need to improve walkability ",opportunity art walk great thing visitor walk currently podgy   need improve walkability,Positive,0.836,3,Develop smaller theatres and cultural facilities in the city,1.001555,-0.010492716
Kelowna Museums Society,V1Y 6S7,49.887027,-119.497355,"hear talk about performing arts theatre, ",hear talk perform art theatre,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.8990072,-0.24669567
Kelowna Museums Society,V1Y 6S7,49.887027,-119.497355,"access to archives a challenge, for people to do research. have <br>to turn down volunteers because not enough space for them, <br>make appointments - not reaching full potential for societal impact <br>and in basement so accessibility barriers ",access archive challenge people research turn volunteer enough space make appointment   reach full potential society impact basement inaccessibility barrier,Negative,-0.0752,3,Develop smaller theatres and cultural facilities in the city,1.3954439,-0.22592556
Kelowna Museums Society,V1Y 6S7,49.887027,-119.497355,"wants to be best mid-size city, like technology, they need a <br>museum reflect that, does not reflect current place or what <br>kelowna wants to be everyone wants to belong, city of <br>newcomers and want to feel like be a part of <br>it learn the stories of earlier people passing on culture <br>one generation to the take ",want good midwife city like technology need museum reflect reflect current place kelowna want everyone want belong city newcomer want feel like part learn story early people   pass culture one generation take,Positive,0.8591,1,Facilities should be more affordable,0.8700949,-0.90703964
Kelowna Museums Society,V1Y 6S7,49.887027,-119.497355,"feasibility study is a good idea for relocation of museum, current <br>site and feasibility of new location - exploring options. museum <br>as key partner involved. as a key operator. national museum <br>consultant. ",sensibility study good idea relation museum current site sensibility new location   explore option museum key partner involve key operator national museum consultant,Positive,0.4404,1,Facilities should be more affordable,1.2315565,-1.050983
Kelowna Museums Society,V1Y 6S7,49.887027,-119.497355,what does this building need to do in 2030 and end <br>of the century. ,building need end century,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.8750017,0.22813381
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,current big theatre - something should be done. improve green rooms <br>and dressing rooms ,current big theatre   something do   improve green room dress room,Positive,0.4404,2,Venues need to be more accessible and subsidized for artists,0.4098513,1.2563907
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,need informal space for people to congregate hanging out - at <br>this time people can hardly move around ,need informal space people congregate hang   time people hardly move around,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.092454,-0.38812453
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,"need opportunity for people to connect and socialize, not just having <br>people sitting in seats and watching performance. there is a <br>lot that happens before, after and in-between ",  need opportunity people connect socialist people sit seat watch performance   lot happen,Positive,0.4215,1,Facilities should be more affordable,0.17669494,-0.21981649
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,"courthouse is in the middle of some cultural buildings, which emits <br>the possibilities of block redevelopment ",courthouse middle cultural building emit possibility block development,Negative,-0.4404,3,Develop smaller theatres and cultural facilities in the city,1.0044132,0.07119074
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,current theatres are in a great location keep cultural district ,current theater great location keep cultural district,Positive,0.6249,1,Facilities should be more affordable,0.13681564,0.24354978
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,RCA - city is responsible ,rca   city responsible,Positive,0.3182,3,Develop smaller theatres and cultural facilities in the city,0.7932056,-0.21969923
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,city plays huge role ,city play huge role,Positive,0.5106,3,Develop smaller theatres and cultural facilities in the city,0.8697067,0.14677031
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,own community theatre ,community theatre,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.7180954,0.065614216
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,need to fund cultural facilities ,need fund cultural facility,Neutral,0.0,1,Facilities should be more affordable,0.29885662,-0.24403858
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,"keep relevant and updated, should look at addressing inadequacies of existing <br>facilities, some problems, keep in location ",keep relevant update look address inadequacy exist facility problem keep location,Negative,-0.6597,1,Facilities should be more affordable,1.2623601,0.1649552
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,never enough s to go around ,never enough go around,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.978201,-0.0073151495
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,"city is very generous with chamber, and the chamber needs to <br>fulfill the citys obligationsgrant requirements - important to chamber to <br>do this ",city generous chamber chamber need fulfill city obligationsgrant requirement   important chamber,Positive,0.807,3,Develop smaller theatres and cultural facilities in the city,1.0555398,-0.33156523
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,city makes effort to encourage people to come out to events <br>,city make effort encourage people come event,Positive,0.5106,1,Facilities should be more affordable,0.1856267,-0.5382838
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,could address traffic issue and parking when multiple events happening simultaneously <br>,could address traffic issue parking multiple event happen simultaneously,Neutral,0.0,1,Facilities should be more affordable,0.3563793,-0.13558307
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,"city facilitates learning workshops which are very good, sometimes people invite <br>arent able to attend ",city facilitate learning workshop good sometimes people invite agent able attend,Positive,0.5849,3,Develop smaller theatres and cultural facilities in the city,1.2733115,-0.35468373
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,need for board education one they function and help with refining <br>their function and what they are suppose to do - <br>city does a good job of addressing this through workshops <br>and building capacity ,need board education one function help refine function suppose   city good job address workshop building capacity,Positive,0.6808,3,Develop smaller theatres and cultural facilities in the city,0.30855253,0.58490765
Chamber Music Kelowna,V1Y 6Z1,49.891749,-119.494207,positive feedback to cultural services groups at the city - they <br>have put knowledgeable people in place to do the work. <br>,positive feedback cultural service group city   put knowledgeable people place work,Positive,0.5574,1,Facilities should be more affordable,0.9662326,-0.3628682
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,"the facilities are aging. how important are these facilities, who is <br>going to move forward on redeveloping and campaigning and fundraising. <br>question about value ",facility rag   important facility go move forward develop campaigning fundraising question value,Positive,0.4939,3,Develop smaller theatres and cultural facilities in the city,0.87641335,-0.90678364
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,"trying to hire - adequate wages, stability of jobs. sector is <br>challenged, trying to bring quality people, recruitment and retention trade-off <br>the programs arent as good, and less progressive ",try hire   adequate wage stability job sector challenge try bring quality people recruitment retention tradeoff program agent good less progressive,Negative,-0.2278,3,Develop smaller theatres and cultural facilities in the city,1.0389404,0.054367196
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,"aging population, may not see value in reinvestment re taxpayer dollars <br>",rag population may see value investment taxpayer dollar,Negative,-0.2584,3,Develop smaller theatres and cultural facilities in the city,1.6664385,-0.9609452
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,facilities master plan - first step!! ,facility master plan   first step,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1484551,-0.2006034
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,"museum and gallery - leased from city city abliged to address <br>concerns, challenging place, great stable societies - good operational and <br>healthy, continue to maintain. ",museum gallery   lease city city oblige address concern challenge place great stable society   good operational healthy continue maintain,Positive,0.91,1,Facilities should be more affordable,0.9107279,0.08752333
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,"need a more professional sector to be stable, board development, ",need professional sector stable board development,Positive,0.296,3,Develop smaller theatres and cultural facilities in the city,1.1262633,-0.21466848
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,"safety and security of precinct, people more equipped. city facilitating this, <br>good, small costs ",safety security predict people equipped city facilitate good small cost,Positive,0.8213,3,Develop smaller theatres and cultural facilities in the city,0.9358201,0.038218644
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,Small organizations like Chamber Music Kelowna do not have a physical <br>address and just use P. O. Box addresses. But some <br>funders and grant agencies dont recognize the p. o box <br>and instead want a physical address. Would be nice to <br>have a physical address that is a collective space where <br>organizations can register their location. Would solve a lot of <br>admin challenges. ,small organization like chamber music kelowna physical address use p   box address   founder grant agency not recognize p box instead want physical address   would nice physical address collective space organization register location   would solve lot admit challenge,Positive,0.8481,2,Venues need to be more accessible and subsidized for artists,1.4895619,1.0070062
Kelowna Community Theatre,V1Y 0B4,49.889196000000005,-119.497076,"Alternatively, sometimes staff person like Executive director will use their home <br>address but then the addresses changed when staff changes. Having <br>that one location will ensure consistency instead of constantly changing <br>addresses. ",alternatively sometimes staff person like executive director use home address address change staff change   one location ensure consistency instead constantly change address,Positive,0.631,1,Facilities should be more affordable,1.2403456,-0.1088052
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"new smaller space is important to develop need to create an <br>environment for artists. if you have a space that cant <br>be filled, not a good energy ",new small space important develop need create environment artist   space fill good energy,Negative,-0.0823,1,Facilities should be more affordable,-0.42024472,-0.4694399
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"community theatre needs replaced, sound isnt great. Like spears centre in <br>winspear centre. ",community theatre need replace sound great   like spear centre winspear centre,Negative,-0.6602,1,Facilities should be more affordable,0.36517954,-0.043403715
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"finding ways to support existing facilities to create more connections to <br>increase usage. like the rotary centres has great things going <br>on, how do we maximize what we have thats in <br>good shape, work together for utilization. ",find way support exist facility create connection increase usage   like rotary centre great thing go minimize good shape work together utilization  ,Positive,0.9419,1,Facilities should be more affordable,0.1991317,-1.356357
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"with this facilities information, lets workshop it with users get involved <br>",facility information let workshop user get involve,Neutral,0.0,1,Facilities should be more affordable,0.24557374,-0.21194674
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"developing new facility what is low hanging fruit, what do we <br>have and what land do we have ",develop new facility low hang fruit land,Negative,-0.2732,3,Develop smaller theatres and cultural facilities in the city,0.7387549,-0.010587908
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"torn down rcmp building and in cultural district, proposal - should <br>have cultural space as requirement space empty - build new <br>theatre here if big enough, and then tore down old <br>community theatre and build mid-size that. ",tear camp building cultural district proposal   cultural space requirement space empty   build new theatre big enough tear old community theatre build midwife,Negative,-0.4215,1,Facilities should be more affordable,0.8589041,0.32826543
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"or in the middle, a space STACKT - temporary venuebuilding made <br>out of containers. suppose to be there one year - <br>suppose to be able to disassemble and reassemble in 3 <br>months. very cool space. would be amazing to have in <br>the interim, and then transitioning into permanent space. you can <br>demonstrate the demand for the space. ",middle space stackt   temporary venuebuilding make container   suppose one year   suppose able disassemble reassemble month   cool space   would amazing interim transition permanent space   demonstrate demand space,Positive,0.7089,2,Venues need to be more accessible and subsidized for artists,1.7059863,1.1803225
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"need for live-work artisan space. cultural space, need to have some <br>of this as part of the cultural district. work developers. <br>it would make it a lot more feasible for artists. <br>some artists lived in kelowna but moved out to lake <br>country for affordability. though to have rehearsal space is regular <br>residential. ",need livework artisan space   cultural space need part cultural district   work developer   would make lot feasible artist   artist live kelowna move lake country affordability   though rehearsal space regular residential,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.6414098,0.54503036
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,live-work space - purpose-built doesnt work for neighbours ,livework space   purposebuilt   work neighbour,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.4846883,0.06269776
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,they have to be a champion for encouraging these things to <br>make it economically viable ,champion encourage thing make economically viable,Positive,0.8074,3,Develop smaller theatres and cultural facilities in the city,1.242347,-0.30661154
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"would be great to see what we have, what everyone needs <br>and are using everything ",would great see everyone need use everything,Positive,0.6249,1,Facilities should be more affordable,-0.08487188,-0.28979126
