Time,Age,Gender,Response,CleanedResponse,Topic,Topic_Description,X,Y
Jul 24 18 11:03:19 am,25 to 34,Male,"Art, Culture and Heritage should be a prevailing theme in our <br>councils decisions and vision. ",heritage prevail theme council decision vision,1,"Need new theatre, more venue and space",5.870715,2.357762
Jul 25 18 08:33:29 am,35 to 44,Prefer to not disclose,more education for students in elementary school ,education student elementary school,1,"Need new theatre, more venue and space",9.6182375,3.7270844
Jul 25 18 08:35:06 am,35 to 44,Female,"More Centers, Booths at community events, etc. ",center booth etc,1,"Need new theatre, more venue and space",8.745091,1.5209633
Jul 25 18 08:36:48 am,35 to 44,Female,have more free events in town for kids ,free town kid,3,Need more promotions and free stuff,-4.2412157,3.76991
Jul 25 18 08:39:28 am,25 to 34,Female,unfortunately I'm not sure ,unfortunately sure,2,Need more winter events and more advertisings,7.677752,5.3709216
Jul 25 18 08:41:47 am,25 to 34,Female,activities ,activity,3,Need more promotions and free stuff,-7.617119,3.6301773
Jul 25 18 08:43:34 am,35 to 44,Female,"more communication (posts in the news, websites, facebook) ",communication post news website facebook,2,Need more winter events and more advertisings,6.4513907,6.13241
Jul 25 18 08:45:01 am,35 to 44,Female,social media presence so I know where to find all the <br>activities. I often don't know about events until after the <br>fact ,social medium presence know find activity know fact,3,Need more promotions and free stuff,-5.479512,2.8509457
Jul 25 18 08:47:06 am,35 to 44,Male,keep doing what you have been doing ,,1,"Need new theatre, more venue and space",10.2550535,4.8695636
Jul 25 18 08:48:29 am,35 to 44,Male,"Arts, culture events are great. Just more advertising of events ",great advertising,2,Need more winter events and more advertisings,-1.6102464,11.235683
Jul 25 18 08:50:40 am,35 to 44,Male,I think advertising and more online + castanet. Seems we always <br>hear about somethings the next day :( ,think advertising online castanet hear,2,Need more winter events and more advertisings,0.029336933,9.5757065
Jul 25 18 08:53:16 am,65 and up,Male,very good job ,good job,2,Need more winter events and more advertisings,2.8662908,5.881889
Jul 25 18 08:55:24 am,55 to 64,Female,"keep doing what you're doing, it's great! ",great,2,Need more winter events and more advertisings,-1.6550788,10.787395
Jul 25 18 08:57:17 am,65 and up,Female,keep doing what you are doing. Please continue with your grant <br>program. ,continue grant program,1,"Need new theatre, more venue and space",2.6280062,-3.6859608
Jul 25 18 08:58:04 am,35 to 44,Male,more ethnic arts ,ethnic,1,"Need new theatre, more venue and space",8.581107,4.8227077
Jul 25 18 08:59:49 am,35 to 44,Female,"not sure, maybe more signage advertising, Balloons on streets. There's a <br>good turn out tonight so you probably are doing lots <br>already ",sure maybe signage advertising balloon street s good turn tonight probably lot,2,Need more winter events and more advertisings,-0.100261375,8.579599
Jul 25 18 09:01:51 am,35 to 44,Female,'-more advertising -open things up to younger ages - most start <br>after 6 years old. Not must for 4+5 year olds <br>,advertisingopen young start old old,1,"Need new theatre, more venue and space",3.9289966,3.1150572
Jul 25 18 09:02:30 am,19 to 24,Female,more scary movies ,scary movie,2,Need more winter events and more advertisings,10.200097,4.215348
Jul 25 18 09:03:16 am,25 to 34,Male,more dancing programs ,dancing program,1,"Need new theatre, more venue and space",5.841533,4.957143
Jul 25 18 02:33:00 pm,45 to 54,Female,"When I lived in Winnipeg, they had an annual festival called <br>""Folklorama"" which highlighted different cultures at various locations throughout the <br>city over the course of a few days. Each venue <br>featured an ethnic culture with its food, music, dance and <br>art. You purchased a passport which gave you unlimited access <br>to any and all of the venues. Once inside, you <br>could purchase different foods and beverages for nominal fees and <br>relax and enjoy the entertainment. It was a wonderful educational <br>experience. ",winnipeg annual festival folklorama highlight different location course venue feature ethnic food music dance purchase passport unlimited access venue inside purchase different food beverage nominal fee relax entertainment wonderful educational experience,1,"Need new theatre, more venue and space",2.529041,-5.8688827
Jul 25 18 08:23:08 pm,45 to 54,Female,"House the homeless, addiction treatments, encourage holistic health and healing....bravo for <br>the bikes....in some areas $5 bus passes for the needy <br>have been introduced. Better bus service. More community and roof <br>topgardens.... ",house homeless addiction treatment encourage holistic health healingbravo bikesin bus pass needy introduce bus service roof topgarden,1,"Need new theatre, more venue and space",8.4805565,3.0644312
Jul 25 18 11:18:17 pm,35 to 44,Female,"Improve and create new public venues, build an intentionally acoustically perfect <br>venue such as the Winspear Centre in Edmonton. Encourage multipurpose <br>spaces such as the City of Surreys county Cilic chamber <br>which can also be used as a an intimate venue. <br>Support communication and promotion of arts and culture programs. Encourage <br>churches to be utilized as music venues. Increase funding to <br>arts series organizers. Create unique programs such as ambassadors for <br>arts and culture or specific disciplines of the arts which <br>include creation of new work, public engagement and public performance. <br>",improve create new venue build intentionally acoustically perfect venue winspear edmonton encourage multipurpose space surrey county cilic chamber use intimate venuesupport communication promotion program encourage church utilize music venue increase funding series organizer create unique program ambassador specific discipline include creation new engagement performance,1,"Need new theatre, more venue and space",-2.5261884,-9.4683485
Jul 26 18 09:20:36 am,65 and up,Female,"By preserving buildings/homes that have heritage value greatly increases cultural climate <br>in a community. Highlighting historic areas of Kelowna such as <br>the signage in City Park noting the Chinese contribution to <br>our community, Kasugai Garden which helps promote our relationship with <br>our sister city and making note of the contributions of <br>former Kelowna community members. ",preserve buildingshome heritage value greatly increase cultural climate highlight historic signage park note chinese contribution kasugai garden help relationship sister note contribution,1,"Need new theatre, more venue and space",2.7130888,-1.5679197
Jul 26 18 09:49:31 am,35 to 44,Female,"More events to connect creatives from various disciplines. I do enjoy <br>the public art but you can never have too much! <br>Maybe new builds need to support local artists with public <br>art in foyer or forecourt. The mall should host something <br>in the winter. It also needs to move away from <br>elitism and be accessible to everyone . Also my kids <br>want to see their bands in Kelowna , not travel <br>to Vancouver or Calgary. Less emphasis on commercial more onto <br>events for everyone with open calls advertised everywhere so people <br>can find them... how about a Kelowna Time Out magazine <br>put out by the city or regional district? ",connect creative discipline maybe new build need local artist foyer forecourt mall host winter need away elitism accessible kid want band travel vancouver calgary emphasis commercial open advertise find time magazine regional district,1,"Need new theatre, more venue and space",-2.0919464,-5.738418
Jul 30 18 10:26:11 am,65 and up,Female,"Events listing are very hard to find! On Castanet, they are <br>hidden in a menu on a button that is not <br>on the main page. You have to know the date <br>before you can find the activity. I looked for Centre <br>of Gravity on the Castanet Events page and didn't see <br>it! We don't get the Courier because we are away <br>a lot and it is too hard to stop and <br>start it. We pick up the Capital News at our <br>local (Capri) market, when it is available; Events listings are <br>not obvious. I hear lots of complaints about parking, most <br>often when concerts and hockey are the same night -- <br>converting the Prospera Parking lot into high rise condos is <br>not a popular move among my concert-going friends. ",listing hard find castanet hide menu button main page know date find activity look gravity castanet page courier away lot hard stop start pick capital news local capri market available listing obvious hear lot complaint park concert hockey night convert prospera parking lot high rise condo popular concertgoe friend,1,"Need new theatre, more venue and space",-2.5069976,5.172784
Jul 30 18 10:38:25 am,35 to 44,Female,? ,,1,"Need new theatre, more venue and space",9.651004,4.64543
Jul 30 18 10:43:35 am,35 to 44,Female,"More artistic events for children less costly - love the City's <br>events, would be nice if there were more!! ",artistic child costly love citys nice,1,"Need new theatre, more venue and space",3.1011794,3.620517
Jul 30 18 10:45:35 am,25 to 34,Female,"'-improve awareness RE: promotion, programs, festivals -Santa clause parade :) -more <br>food trucks (not just during festivals but maybe the whole <br>summer :) -heritage festivals (weekly or biweekly heritage festivals to <br>showcase food and culture of each ethnicity) ",improve awareness promotion program festivalssanta clause parade food truck festival maybe summer heritage festival weekly biweekly heritage festival showcase food ethnicity,1,"Need new theatre, more venue and space",-0.29613894,-3.7008865
Jul 30 18 10:47:17 am,35 to 44,Female,more internet following ,internet follow,2,Need more winter events and more advertisings,9.923557,5.4518223
Jul 30 18 10:50:53 am,35 to 44,Female,'-folk fest style events -more cultural events @ sidewalk sales ,folk fest style eventsmore cultural sidewalk sale,1,"Need new theatre, more venue and space",4.368276,1.8285464
Jul 30 18 10:51:56 am,25 to 34,Female,offer more events ,offer,1,"Need new theatre, more venue and space",7.5647273,1.6085563
Jul 30 18 10:53:57 am,19 to 24,Female,Engage more young people & elderly ,engage young elderly,1,"Need new theatre, more venue and space",4.391196,4.1413555
Jul 30 18 10:55:41 am,19 to 24,Female,Possibly make more events celebrating different cultures which then educates people <br>,possibly celebrate different educate,1,"Need new theatre, more venue and space",5.0661044,-0.41037607
Jul 30 18 10:58:02 am,19 to 24,Female,'-more diversity of arts and culture -an equal opportunity for people <br>to utilize and learn about their culture ,diversity culturean equal opportunity utilize learn,1,"Need new theatre, more venue and space",6.8114753,0.82815295
Jul 30 18 11:04:10 am,25 to 34,Female,'- more creative spaces - co-working spaces for artists ,creative space coworke space artist,1,"Need new theatre, more venue and space",-3.2288723,-10.171778
Jul 30 18 03:32:11 pm,35 to 44,Female,"More support for free expression and authentic, truly made in Kelowna <br>heritage. There's so many expensive events, but not enough opportunities <br>for people on a budget. When I've attended those events, <br>I felt out of place - they really seemed marketed <br>for tourists, rather than locals. When I get together with <br>friends who grew up here, we have great memories of <br>the bands we grew up with in the late 80's <br>and 90's. We reminisce about unique spaces. A friend recently <br>did an exhibit on Peter Soehn, a little known local <br>artist who created folk and pop Art. Scott and I <br>found one of his pieces - The hand painted Old <br>Macdonald's Farm billboard abandoned face down in a field, where <br>it had remained for years. Not enough is being done <br>to recognize and preserve the lesser known, quirky, weird, and <br>totally unique Okanagan identity that long term locals cherish. We <br>need to give more of a spotlight to the wonderful <br>heritage buildings, and legendary underground figures that set us apart <br>from other cities. ",free expression authentic truly heritage s expensive opportunity budget attend feel market tourist local friend grow great memory band grow late reminisce unique space friend recently exhibit peter soehn little know local artist create folk pop scott find piece hand paint old macdonald farm billboard abandon face field remain recognize preserve lesser know quirky weird totally unique okanagan identity long term local cherish nee spotlight wonderful heritage building legendary underground figure set apart,1,"Need new theatre, more venue and space",0.20998949,-8.51565
Jul 30 18 03:32:27 pm,45 to 54,Female,"Make it more accessible. There is a great deal available for <br>those with lots of money or those who work Monday-Friday <br>9-5 jobs, but the options shrink for those not as <br>well off financially and/or who work weekends and evenings. Also, <br>City Park used to be a lovely place to stroll <br>through in the summer with small vendors lining the walkway, <br>the little snack shack, and water park. It's no longer <br>as welcoming. ",accessible great deal available lot money mondayfriday job option shrink financially andor weekend evening park use lovely stroll summer small vendor line walkway little snack shack water park longer welcome,2,Need more winter events and more advertisings,-0.53606784,7.0594525
Jul 30 18 04:31:14 pm,55 to 64,Female,Greater communication of events and facilities; reduced costs to attend ,great communication facility reduced cost attend,2,Need more winter events and more advertisings,-0.35443792,8.686948
Jul 30 18 07:11:16 pm,55 to 64,Female,More free stuff ,free stuff,3,Need more promotions and free stuff,-1.6670939,1.4865268
Jul 30 18 09:33:12 pm,25 to 34,Female,involve more indigenous events and awareness. and really involve teaching young <br>ones in school ,involve indigenous awareness involve teach young school,1,"Need new theatre, more venue and space",5.107009,5.586787
Jul 31 18 07:59:17 am,55 to 64,Male,Showcase local talent by hiring local groups to perform in our <br>many excellent facilities. Put money into people and events rather <br>than bricks and mortar. Reduce spending on sculptures and artwork. <br>,showcase local talent hire local group perform excellent facility money brick mortar reduce spending sculpture artwork,1,"Need new theatre, more venue and space",1.9924951,-12.363215
Jul 31 18 08:04:01 am,55 to 64,Female,"bring back the artists booths along the lakeshore. Have a festival <br>celebrating cultures around the world with different foods, dances etc. <br>(we may already have this but am not sure). Encourage <br>all to explore different cultures. ",bring artist booth lakeshorehave festival celebrate world different food dance etc sure encourage explore different,1,"Need new theatre, more venue and space",0.7489586,-6.7403
Jul 31 18 08:37:50 am,45 to 54,Female,Advertising ,advertise,1,"Need new theatre, more venue and space",7.7589073,4.0992703
Jul 31 18 08:36:46 pm,35 to 44,Female,"More contemporary concerts at prospera, roller rink or city run space <br>for indoor skating throughout winter. ***there is little option for <br>our derby team to practice in rain/snow! ",contemporary concert prospera roller rink run space indoor skating winter little option derby team practice rainsnow,1,"Need new theatre, more venue and space",1.8637999,-2.0864434
Jul 31 18 10:30:28 pm,45 to 54,Female,"Street entertainers and art installations along our busy waterfront and new <br>tourism centre. Possibly ??moving?? and interactive art experiences. Portable sculpture <br>- buskers, artists, - live ??pop up?? performances or painters <br>",street entertainer installation busy waterfront new tourism possibly interactive experience portable sculpture busker artist pop performance painter,1,"Need new theatre, more venue and space",3.395349,-6.73758
Aug 01 18 05:17:14 am,35 to 44,Male,Recognize other types of heritage that helped build Kelowna like Asian <br>cultures in addition to Quebec and European culture. ,recognize type heritage help build asian addition quebec european,1,"Need new theatre, more venue and space",2.9929051,-0.71643525
Aug 01 18 06:31:20 am,65 and up,Female,"Have a bigger Art Gallery, more places for an unknown artist <br>to display their work, let us have a more modern <br>museum, more affordable classes for both students, adults, and seniors..to <br>be able to pursue their passions. ",big gallery unknown artist display let modern museum affordable class student adult seniorsto able pursue passion,1,"Need new theatre, more venue and space",3.7874131,-8.036782
Aug 01 18 10:12:43 am,55 to 64,Female,"Have specialty days just for certain cultures. For example; Chinese new <br>Year, Hawaiian days, Irish on St Pattys day...etc. Find a <br>special holiday from places around the world and showcase their <br>traditions, like maybe Swedish Christmas, for example. ",specialty certain chinese new hawaiian irish patty dayetc find special holiday world showcase tradition maybe swedish christma,1,"Need new theatre, more venue and space",-0.2820635,0.9299768
Aug 01 18 11:55:24 am,25 to 34,Female,"Providing funding to non-profits to continue to offer low cost programming, <br>encourage non-profits to work together, create low cost spaces for <br>artists to practice, create and sell their art, provide training <br>to local artists and non-profits to improve their business practices. <br>",provide funding nonprofit continue offer low cost programming encourage nonprofit create low cost space artist practice create sell provide training local artist nonprofit improve business practice,1,"Need new theatre, more venue and space",-0.3970775,-11.58031
Aug 01 18 03:02:45 pm,45 to 54,Female,There is an opportunity to be more multi-cultural and diverse. ,opportunity multicultural diverse,1,"Need new theatre, more venue and space",6.6705556,1.35944
Aug 01 18 03:19:19 pm,65 and up,Female,Communication - We need a better calendar for the events. I <br>would like to see all the choices for a week <br>or a month instead of having to choose a date <br>and look for that particular day. ,communication need calendar choice week month instead choose date look particular,3,Need more promotions and free stuff,-0.8940676,1.4144889
Aug 02 18 05:45:27 pm,35 to 44,Female,"Continue to do what you're doing. I think the direction that <br>arts, culture and heritage is taking Kelowna is great. If <br>the same concepts continue to be applied, I think these <br>areas will continue to be improved. I think it would <br>also be beneficial for Prospera Place to be a ticketmaster <br>stadium rather than Select Your Tickets, as more and better <br>concerts would come to town. I think it would also <br>be fabulous to have an Outdoor Christmas Market during the <br>holidays. ",continue think direction heritage great concept continue apply think continue improve think beneficial prospera ticketmaster stadium select ticket concert town think fabulous outdoor christmas market holiday,2,Need more winter events and more advertisings,-0.5144035,7.391592
