Response,CleanedResponse,Topic,TopicText,X,Y
"Not only would personal healing be acknowledged as important, but healing <br>in our community-to-community and person-to-person relationships would be recognized as <br>part of the identity we seek to foster. ",would personal healing acknowledge important heal communitytocommunity persontoperson relationship would recognize part identity seek foster,2,Create more affordable theatres and spaces for artists and small businesses,-20.576525,-51.766705
"Kelowna has an increasing need to attract and retain top talent. <br>Part of this involves the cultural work of ensuring we <br>are known as a city of inclusion. Embracing Truth and <br>Reconciliation, we gain an opportunity to articulate Kelowna as a <br>city willing to work on the challenges that sometimes exist <br>between communities. As we seek to attract talent, engaging in <br>processes that acknowledge truth and seek reconciliation signals that we <br>are a community that is able to acknowledge challenging truths <br>in its history and that we are striving to be <br>a community committed to realizing health in ourselves and in <br>our relationships. ",kelowna increase need attract retain top talent   part involve cultural work ensure know city inclusion   embrace truth reconciliation gain opportunity articulate kelowna city willing work challenge sometimes exist community   seek attract talent engage process acknowledge truth seek reconciliation signal community able acknowledge challenging truth history strive community commit realize health relationship,4,Provide more opportunities in the city for cultural and heritage groups,-1.054579,5.5122795
"Culture is about who we are, who we have been and <br>who we are becoming. As we plan our culture, in <br>addition to the physical infrastructure and human resources required for <br>a vibrant cultural sector, we ought to highlight the processes <br>that are vital to our cultural development needs and central <br>to our aspirations of who, over the next five years, <br>we seek to become. ",culture become   plan culture addition physical infrastructure human resource require vagrant cultural sector ought highlight process vital cultural development need central aspiration next five year seek become,4,Provide more opportunities in the city for cultural and heritage groups,-3.169488,3.8861332
"Fred Skeleton Theartre Company are looking at getting a venue, we <br>would need to make sure it was being used all <br>the time and musicians and theatre seem to be the <br>best options for keeping a place busy. ",red skeleton theatre company look get venue would need make sure use time musician theatre seem good option keep place busy,1,Support events organized by local groups for the community,59.80808,-26.794086
"We will need to do some fundraising cos we are a <br>small non-profit, but we are looking at doing this sooner <br>than later. ",need fundraising cos small nonprofit look sooner later,3,"Encourage, support and promote local businesses and artists",-25.06326,23.097372
"A performance space, lights, and sound boothrecording studio in a warehouse <br>type black box approx 2500 square feet is the plan <br>",performance space light sound boothrecording studio warehouse type black box approve square foot plan,1,Support events organized by local groups for the community,59.409725,-27.152979
"We are so passionate about creating a shared space where artists <br>of all kinds have a place to connect, create, share <br>and perform in a positive and supportive space. Woah that <br>accidentally came out like a mission statement but seriously dudes-with <br>our powers combined, WE ARE CAPTAIN PLANET. Or at least <br>hekkins rad with so much life and spark to share. <br>",passionate create share space artist kind place connect create share perform positive suppurative space   noah accidentally come like mission statement   seriously dudeswith power combine captain planet   least hopkins much life spark share,3,"Encourage, support and promote local businesses and artists",-5.1267753,9.083574
YES!!!Love it! Thats a mad rad mission statement!!! ,yeslove hat mad mission statement,2,Create more affordable theatres and spaces for artists and small businesses,3.5812125,-21.903576
"Karma Reine has told me about a method of creating a <br>space that allows it to transform for different types of <br>events in a simple and efficient manner -- I think <br>it had to do with modified storage containers functioning as <br>walls? Karma, can you share about this or point us <br>to a link? ",parma seine tell method create space allow transform different type event simple efficient manner   think modify storage container sanction wall parma share point -PRON- link,2,Create more affordable theatres and spaces for artists and small businesses,-27.52734,-56.571568
Lauren Helena Hjalmarson I wouldnt say this is the easiest solution <br>and technically its temporary. What I understand is it is <br>cost effective. I know the venue Manager understand is it <br>is cost effective. The website focuses on the retail side <br>unfortunately. There is a 25 person indoor venue with glass <br>doors that expands to accommodate more. See it httpstackmarket. com <br>,helena hjalmarson say easy solution technically temporary   understand cost effective   know venue manager understand cost effective   webster focus retail side unfortunately   person indoor venue glass door expand accommodate   see httpstackmarket com,4,Provide more opportunities in the city for cultural and heritage groups,3.2706656,11.540846
"Rob MB, Shannon Mason-Brown and Brian Looney have all been looking <br>at the co-operative model! ",mob cannon masonbrown brian money look cooperative model,3,"Encourage, support and promote local businesses and artists",-28.72207,26.189098
"This is a super interesting topic for us. We have a <br>similar issue and feel trapped in our venue at Actors <br>Studio because despite demand for a larger house - the <br>Mary Irwin Theatre and Kelowna Community Theatre are too booked <br>to accommodate any availability for us other than our summer <br>time slot. Typically we can t have the space for <br>the 3. 5 weeks we need it to do one <br>our our shows because they have a single night booking <br>or traditional client hold which doesnt allow us to plan <br>in advance. Add to this we pay substantially more more <br>than double our other professional arts group counterparts to rent <br>the KCT because we dont get funding from the city <br>make sense of that one, I dare you to try. <br>Same usage. Same staff. More tickets sold. More CIFs collected. <br>More than double the rental fee from local arts group <br>with local citizens as participants. The RCA has just flat <br>out declined our requests for rental space for 5 years. <br>Also too booked. We have met with the mayor and <br>city manager about this repeatedly. To no avail. And we <br>dont get a voice in culture in the community because <br>we again - wont put ourselves under their thumb for <br>funding. Something needs to change. We would absolutely make Actors <br>Studio more available for musicians if the city supported us <br>over one off tribute bands from Vancouver. ",super interesting topic -PRON-   similar issue feel wrap venue actor studio despite demand large house   mary brain theatre kelowna community theatre book accommodate availability -PRON- summer time slot   typically space   week need one show single night booking traditional client hold allow -PRON- plan advance   add pay substantially double professional art group counterpart rent kct not get funding city make sense one dare try   usage   staff   ticket sell   cifs collect   double rental fee local art group local citizen participant   rca flat decline request rental space year   also book   meet mayor city manager repeatedly   avail   not get voice culture community   will not put thumb funding   something need change   would absolutely make actor studio available musician city support -PRON- one tribute band vancouver,4,Provide more opportunities in the city for cultural and heritage groups,4.8785405,-6.9313235
NP. Thought it was an interesting topic. Im sure you know <br>more about it than myself. I would be interested to <br>read anything on this topic. Can you point me in <br>the right direction? ,  thought interesting topic   sure know would interested read anything topic   point right direction,3,"Encourage, support and promote local businesses and artists",-33.21279,30.307549
A. J Mathews Local HJYPE with Lauren has a lot of <br>info on this topic! ,j father local hjype lot topic,3,"Encourage, support and promote local businesses and artists",-15.612435,17.829662
A. J. Mathews httpsgetinvolved. kelowna. cacultural-plan ,j   father httpsgetinvolv kelowna caculturalplan,3,"Encourage, support and promote local businesses and artists",-17.251661,19.481142
A. J. Mathews this was the second article written by local <br>journalists about the meeting and discussion process Ive been facilitating <br>on this issue. The first is linked to on my <br>page. I dont have additional reading material to provide at <br>this point but Ryan Donns link is a good one!! <br>,j   father second article write local journalist meeting discussion process facilitate issue   first link page   not additional reading material provide point bone link good one,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-17.462585,-0.38048896
"Wow, I had no idea that you were in this situation! <br>Thank you for the share but more than that, I <br>hope all of us can find a solution to this <br>problem asap. ",idea situation thank share hope -PRON- find solution problem sap,3,"Encourage, support and promote local businesses and artists",-32.318573,29.30783
Kelowna Capital News this might be a great topic for a <br>follow-up article? Just a thought. ,kelowna capital news may great topic followed article must thought,3,"Encourage, support and promote local businesses and artists",-21.451977,19.02854
because we wont put ourselves under their thumb for funding. What <br>are the requirements on city funding that you object to? <br>,will not put thumb funding   requirement city funding object,3,"Encourage, support and promote local businesses and artists",-15.541069,18.24295
"Dan Ryder its my understanding that in order for the city <br>of Kelowna to give your arts organization funding, you need <br>to be recognized by the city of Kelowna as Professional. <br>To be considered professional artists by the city of Kelowna <br>you need to be a registered non profit organization. So <br>we would have to give away our company and business <br>after 17 years of ups and downs and extremely hard <br>work to a board of directors. Giving away our opportunities <br>for any sort of long term legacy or benefit for <br>all we have invested. Its no secret theres not a <br>ton of money in local theatre. But to face the <br>potential of losing our labour of love so that we <br>can make 20k from the city and pay a non-commercial <br>rate for one booking a year makes no sense to <br>us. or hasnt yet. We gave up on the fact <br>after a few years of debating with the city that <br>we will have to pay double what the other local <br>groups pay but the real issue is we get secondthird <br>or no choice on any dates for our shows. Even <br>the local dance schools who are also NOT non-profits interestingly <br>over rule our ability to secure time at the KCT <br>even with years of advance planning and notice. We have <br>been around and around this topic and it eventually ends <br>with me getting frustrated in the bureaucracy and walking away <br>or giving the city employees a reason to label me <br>as a bull in a china shop. There is really <br>no sense to it. We wish it was different. But <br>many meetings later with all levels of City staff from <br>Cultural to Parks to City Manager to Mayor have all <br>netted the same results. ",ryder understanding order city kelowna give art organization fund need recognize city kelowna professional   consider professional artist city kelowna need register non profit organization   would give away company business year extremely hard work board director   give away opportunity sort long term legacy benefit invest   secret ton money local theatre   face potential lose labour love make   city pay noncommercial rate one book year make sense -PRON- yet   give fact year deal city pay double local group pay real issue get secondthird choice date show   even local dance school also nonprofit interesting rule ability secure time kct even year advance planning notice   around around topic eventually end get frustrate bureaucracy walk away give city employee reason label bull china shop   really sense   wish different   many meeting later level city staff cultural mark city manager mayor pet result,4,Provide more opportunities in the city for cultural and heritage groups,6.3471775,8.411015
Love your entrepreneurial spirit in the arts. Way to go. I <br>didnt know this about Kelowna Actors Studio. Respect. ,love entrepreneurial spirit art   may go   know kelowna actor studio   respect  ,4,Provide more opportunities in the city for cultural and heritage groups,7.357523,41.17815
"Thanks for the thorough answer, Nathan. I do understand why non-profits <br>get some preferential treatment, but it does seem questionable for <br>the for-profit dance schools to invariably have scheduling priority. Because <br>theyre schools?. Part of the problem is that we have <br>an infrastructure deficit and need KCT to be replaced. Idle <br>speculation if you offered to partner with the city in <br>helping make a new KCT a reality, perhaps youd get <br>better treatment? ",thank thorough answer   understand nonprofit get deferential treatment seem questionable forprofit dance school invariably schelling priority   school   part problem infrastructure deficit need kct replace   idle speculation offer partner city help make new kct reality perhaps get good treatment,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-5.5955944,0.7300408
"Dan Ryder we had presented a full business plan with that <br>exact partnership a few years back and reiterated in our <br>current meetings this would still be an option. In regards <br>to non-profit vs Profit in the arts - I challenge <br>that its irrelevant. Really the important use is arts or <br>community versus non-profit - as a benchmark. Individual artists and <br>musicians are corporate technically. While royal Winnipeg ballet, for example <br>would be non profit and get a discounted rate. But <br>their artists and staff make much larger salaries than anyone <br>locally I would think. I have much feeling on how <br>backwards this system is. Even locally I would argue you <br>the Artistic Directors of OSO, Ballet Kelowna and even maybe <br>Opera Kelowna make much more than our AD. Their salaries <br>are subsidized. Ours is 100% based on sales and over <br>all audience satisfaction with ownership risk financially should he not <br>deliver. ",ryder present full business plan exact partnership year back reiterate current meeting would still option   regard nonprofit vs profit art   challenge irrelevant   really important use art community versus nonprofit   benchmark   individual artist musician corporate technically   royal winnipeg ballet example would non profit get dismount rate   artist staff make much large salary anyone locally would think   much feeling backwards system   even locally would argue artistic director oso mallet kelowna even maybe opera kelowna make much   salary subsidize     base sale audience satisfaction ownership risk financially deliver,1,Support events organized by local groups for the community,12.186279,-0.11137332
"Its not about salaries, though, its about how an organization is <br>operated. Non-profits are governed by volunteer boards. Basically they represent <br>the community and there is rotation in that governance. There <br>is non-profit governance legislation and reporting legislation. It is these <br>rules and regs that provide a foundation of structure around <br>what orgs can apply for and receive grants, etc although <br>just been a registered non-profit is no guarantee of support. <br>The Kelowna Actors Studio is awesome and the productions are <br>top level. But I do understand the preference to non-profits. <br>",salary though organization operate   nonprofit govern volunteer board   basically represent community rotation governance   nonprofit governance legislation report legislation   rule leg provide foundation structure around org apply receive grant etc although register nonprofit guarantee support   kelowna actor studio awesome production top level   understand preference nonprofit,1,Support events organized by local groups for the community,62.206844,-31.19813
Try a local church. example Rutland hwy 33. Trinity Valley Church <br>is huge. Maybe for a fair donation. The elementary schools <br>uses this church for Christmas concerts etc. Stage might not <br>be exact but pretty close. Just an idea ,cry local church   example upland    trinity valley church huge   maybe fair donation   elementary school use church christmas concert etc   stage may exact pretty close   must idea,4,Provide more opportunities in the city for cultural and heritage groups,3.0652034,58.06465
"Dear friends,. I have stumbled across the 2020 - 2025 Culture <br>Plan a little late because I was wanting to offer <br>some culture related feedback today and went to the Kelowna <br>website to see if I could find an appropriate place <br>to make my suggestion. I see that the community consultation <br>phase that has just passed for the 2020 - 2025 <br>Culture Plan, but it seems like this Plan might be <br>a good place for my suggestion to land even if <br>it is a outside the box of the current high-level <br>goals. My suggestion. Every time my husband and I visit <br>Knox Mountain we pause and read the attached sign. We <br>are very grateful to whatever forces made Knox Mountain Park <br>accessible to the public and we imagine that the generosity <br>of the Knox family is among them. But we also <br>express a hope that one day this sign and potentially <br>other historical signs around Kelowna will be updated to reflect <br>some broader context to help the visitor to understand that <br>the history of this place didnt begin with the European <br>settlers. Im curious. What was Knox Mountain called before that? <br>It would be wonderful if the sign told a richer <br>history of that very special place. I think reconciliation or <br>at least some reference to it should be in the <br>top 10 of the 2020-2025 Culture Plan goals. And if <br>its not being undertaken by some other area, perhaps effort <br>toward updating historical signs to reflect a broader, longer, truer <br>history could be considered as one of the actions under <br>this goal. Thanks for taking time to consider my suggestion. <br>Cindy Snedden. 250 826-6491 ",dear friend   stumble across   culture plan little late want offer culture relate feedback today go kelowna webster see could find appropriate place make suggestion   see community consultation phase pass   culture plan seem like plan may good place suggestion land even outside box current highlevel goal   suggestion   time husband visit knox mountain pause read attach sign   grateful whatev force make knox mountain dark accessible public imagine generosity knox family among   also express hope one day sign potentially historical sign around kelowna update reflect broad context help visitor understand history place begin european settler   curious   knox mountain call would wonderful sign tell rich history special place   think reconciliation least reference top   culture plan goal   undertake area perhaps effort toward date historical sign reflect broad long true history could consider one action goal   thank take time consider suggestion   windy snedden  ,2,Create more affordable theatres and spaces for artists and small businesses,6.810081,-9.17377
Idea The Waterfront Park Island Stage badly needs to be upgraded <br>so that it is better suited for touring musicians. Description <br>The stage needs to be torn down and redesigned. I <br>would love to consult on this project as I am <br>currently one of the only promoters utilizing this venue for <br>A-level musicians. Please contact me at Brandonrockdistrict. ca ,idea waterfront dark island stage badly need upgrade better suit pour musician   description stage need tear design   would love consult project currently one promoter utilize venue level musician   please contact brandonrockdistrict ca,1,Support events organized by local groups for the community,9.285805,0.49859667
"Idea Creatives co-op. Description With both residential units, different kinds of <br>additional price spaces and common spaces for booking including open <br>gatherings for members and the public, these could be rehearsal <br>spaces, intimate performance spaces andor a hallmultipurpose space! The location <br>should make accessible to families and older seniors for whom <br>ease of accessibility is key to thei participation. Living spaces <br>can priorities a percentage to artists or creative producers and <br>others to creative consumers. The arts and heritage need to <br>be key values for all residents to make it work. <br>",idea treaty cook   description residential unit different kind additional price space common space book include open gathering member public could rehearsal space intimate performance space ardor hallmultipurpose space location make accessible family old senior ease inaccessibility key participation   give space priority percentage artist creative producer other creative consumer   art heritage need key value resident make work,1,Support events organized by local groups for the community,12.372888,-1.212498
"Idea OSIF to become the incubatoraccelerator of the Film Community. Description <br>Who We Are OSIF is a nonprofit organization established in <br>2003 within the province of BC with the goal of <br>supporting Filmmakers in the Okanagan. The majority of our members <br>are from Kelowna. OSIF is committed to education, opportunity, community <br>service, and fiscal responsibility. We provide our membership with networking <br>opportunities, on-set experience, film eventsscreenings, production advice and the equipment <br>necessary to enable our members ideas to come to life!. <br>OSIF Proposal Our vision is for OSIF to become an <br>incubator of the Film Community in a similar fashion to <br>how Accelerate Okanagan supports the Tech Industry. We want to <br>offer support and connections for Kelownas emerging Film Industry. We <br>plan on developing two new specific programs to achieve this <br>goal. 1. Regular On-going SkillsCapacity Building Workshops for our members <br>and the community. This will include workshops specifically designed to <br>build the professional development of emerging independent filmmakers. As well, <br>provide the specific skills required to fill onset roles for <br>productions filming in the Okanagan. 2. Formal Mentorship Program - <br>that will build the capacity and skills of both the <br>mentees and mentors with the ultimate goal of preparing emerging <br>DirectorsProducers, Documentarians and Screenwriters to launch successful careers in this <br>industry. OSIF will ensure there are specific openings dedicated for <br>Indigenous people, Women in Film, LGBTQ, DeafHard of Hearing, people <br>with varying abilities and other groups here in the Okanagan. <br>This mentorship program will match mentees with vetted local industry <br>mentors, provide an executive coach, networking opportunities and support to <br>elevate their career. Both mentees and mentors will receive an <br>orientation, ongoing support and marketing from OSIF during the mentorship <br>program. There will be specific measurable outcomes and regular ongoing <br>check-ins. As well, OSIF will provide a Showcase event, open <br>to the community, to celebrate the success of the mentees <br>and mentors. Participants in the Documentary stream of this program <br>will document the progress and struggles of all members of <br>this program and this doc would air after the 1-year <br>showcase event. Potential Partners West Bank First Nation, Osoyoos Indian <br>Band Development Corporation, Creative BC, Kelowna Pride, Cities of Kelowna, <br>Penticton, Vernon, Oliver, Osoyoos, and Enderby, Chronus - Mentorship Program, <br>The Film Factory, Creative Okanagan, Southern Interior Development Initiative Trust, <br>BC Arts Council, Canada Council for the Arts, Telefilm Canada, <br>Okanagan College, Okanagan Film Commission. We would love to connect <br>with you. infoosif. org. ",idea osif become incubatoraccelerator film community   description osif nonprofit organization establish within province goal support filmmaker okanagan   majority member kelowna   osif commit education opportunity community service fiscal responsibility   provide membership networking opportunity onset experience film eventsscreening production advice equipment necessary enable member idea come life   osif proposal vision osif become incubation film community similar fashion accelerate okanagan support lech industry   want offer support connection kelowna emerge film industry   plan develop two new specific program achieve goal     regular go skillscapacity building workshop member community   include workshop specifically design build professional development emerge independent filmmaker   well provide specific skill require fill onset role production fill okanagan     normal censorship program   build capacity skill center senator ultimate goal prepare emerge directorsproducer documentarian screenwriter launch successful career industry   osif ensure specific opening dedicate indigenous people woman film lgbtq deafhard hear people vary ability group okanagan   censorship program match center vested local industry senator provide executive coach networking opportunity support elevate career   center senator receive orientation go support marketing osif censorship program   specific measurable outcome regular go check   well osif provide showcase event open community celebrate success center senator   participant documentary stream program document progress struggle member program would air year showcase event   potential partner west bank first nation osoyoos indian development corporation creative kelowna ride city kelowna penticton vernon liver osoyoos derby throng   censorship program film factory creative okanagan southern interior development initiative trust art council canada council art telefilm canada okanagan college okanagan film commission   would love connect   infoosif org  ,2,Create more affordable theatres and spaces for artists and small businesses,4.314111,-7.867344
"Comment Kelowna is on the cusp of a booming film industry, <br>which can bring lots of into the community. This proposal <br>would not only be good for our local filmmakers to <br>develop their talents but would also be a real asset <br>to put Kelowna on the map as a production hub. <br>",comment kelowna cusp booming film industry bring lot   community   proposal would good local filmmaker develop talent would also real asset put kelowna map production hut,4,Provide more opportunities in the city for cultural and heritage groups,6.751463,8.313979
Comment We really want to see Kelowna grow as the film <br>hub it should and could be. Theres so much interest <br>in this area regarding filmmaking - lets support our community <br>of creatives! ,comment really want see kelowna grow film hut could   much interest area regard filmmaking   let support community creative,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-41.324764,-11.202529
"Comment As a young budding filmmaker Im looking for someone to <br>teach me the industry tips and tricks that only industry <br>insiders have the knowledge of. This program would help me <br>to stay here in Kelowna instead of looking to Vancouver <br>to fill that need. Kelowna needs to foster the growing <br>film community for many reasons. Money from these productions for <br>local businesses, jobs for local people who would other wise <br>have to go to Vancouver and to bring those that <br>have left in search of work else ware back to <br>Kelowna. ",comment young bud filmmaker look someone teach industry tip trick industry insider knowledge   program would help stay kelowna instead look vancouver fill need   kelowna need foster grow film community many reason   money production local business job local people would wise go vancouver bring leave search work else ware back kelowna  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-8.701873,-1.4548148
"Comment A community such as OSIF has the opportunity to thrive <br>in Kelowna. Our beautiful natural locations, BC tax intensives, and <br>experienced BC crew members can all play a huge part <br>in creating a booming local indie film scene and help <br>put Kelowna on the map. ",comment community osif opportunity thrive kelowna   beautiful natural location tax intensive experienced crew member play huge part create booming local india film scene help put kelowna map,4,Provide more opportunities in the city for cultural and heritage groups,2.5327578,59.614815
"Comment We are already seeing the benefit of OSIF in our <br>community. More filmmakers are coming to the Okanagan and leaving <br>with good stories. We now have enough crew locally to <br>create a positive feedback loop with more films, more jobs, <br>more opportunities for local folks. With OSIF, our locals will <br>be able to catch the filmmakking bug, connect with other <br>locals, and, through OSIF, be able to develop the skills <br>and experience to create something good here instead of needing <br>to move away. ",comment already see benefit osif community   filmmaker come okanagan leave good story   enough crew locally create positive feedback loop film job opportunity local folk   osif local able catch filmmakk bug connect local osif able develop skill experience create something good instead need move away,4,Provide more opportunities in the city for cultural and heritage groups,6.609476,8.816883
"Comment Kelowna and surrounding area are at such a good advantage <br>in becoming a film industry hub in the province. More <br>and more productions are looking outside of the Vancouver area <br>for new locations, and experienced local crews are a major <br>deciding factor. OSIFs willingness and ability to foster skill and <br>knowledge in the field is a vital asset to allow <br>this industry to grow in the valley. ",comment kelowna surround area good advantage become film industry hut province   production look outside vancouver area new location experience local crew major decide factor   osifs willingness ability foster skill knowledge field vital asset allow industry grow valley,4,Provide more opportunities in the city for cultural and heritage groups,6.462267,10.601959
"Comment Kelowna has been benefiting from the influx of productions coming <br>into town for film, TV, commercials and advertisements for a <br>number of years. With talk of the industry poised to <br>shift away from larger urban centres like Vancouver and Calgary, <br>organizations like OSIF have a large role and responsibility in <br>supporting their local filmmakers. OSIF having access to funding so <br>that it may provide training and mentorship opportunities for locally <br>created content and festivals would be a great way to <br>help younger and locally experienced filmmakers stay in the region <br>instead of being siphoned off to larger cities that have <br>more opportunities. Studies over the years have shown that the <br>trickle down effect of film funding boosts the economy by <br>a factor of six. Every dollar from film spent in <br>the Vancouver area gets circulated six-fold, creating a better economy <br>and more jobs. So why not here as well?. With <br>OSIF being able to provide training and filmmaking opportunities will <br>Kelowna also be able to see a boost in productions <br>choosing this location rather than others. ",comment kelowna benefit influx production come town film commercial advertisement number year   talk industry pose shift away large urban centre like vancouver salary organization like osif large role responsibility support local filmmaker   osif access funding may provide training censorship opportunity locally create content festival would great way help young locally experience filmmaker stay region instead siphon large city opportunity   study year show trickle effect film funding boot economy factor six   dollar film spend vancouver area get circulate sixfold create good economy job   well   osif able provide training filmmaking opportunity kelowna also able see boost production choose location rather other,1,Support events organized by local groups for the community,7.3052363,7.088754
"Comment I would love to see an extension of this concept <br>as part of the Citys support in assisting the development <br>of craftsperson skills and education, as well as establishing a <br>public network or warehouse for local rentals. As OSIF provides <br>growth and opportunity for DirectorsProducersScreenwriters, the Kelowna and Okanagan crew <br>base, equipment, trucks, wardrobesetprops inventory rentals is still a logistical <br>and budgetary challenge for visiting producers. ",comment would love see extension concept part support assist development craftsperson skill education well establish public network warehouse local rental   osif provide growth opportunity directorsproducersscreenwriter kelowna okanagan crew base equipment trunk wardrobesetprop inventor rental still logistical budgetary challenge visit producer  ,3,"Encourage, support and promote local businesses and artists",-5.396673,9.316411
"Financial and other support e. g. performance venues, studio spaces for <br>local artists and musicians to help bring their work to <br>the attention of the public replace the Community Theatre with <br>a newer, bigger, state-of-the art theatre increase funding to ORL <br>and Kelowna Museums partner with other municipalities in the Okanagan <br>in the coordination of events ",financial support e g   performance avenue studio space local artist musician help bring work attention public replace community theatre newer big stateofthe art theatre increase funding orl kelowna museum partner municipality okanagan coordination event,1,Support events organized by local groups for the community,62.22375,-31.289927
"When promoting events add facts of the cu,true being showcased. a <br>did you know section ",promote event add fact true showcas   know section,1,Support events organized by local groups for the community,47.862865,-11.873068
more smaller venues at affordable pricing for amateur group performances. more <br>available funding small amounts for local groups. ,small avenue unfordable pricking amateur group performance   available fund small amount local group  ,1,Support events organized by local groups for the community,12.34352,-1.1985646
"Bring in more figure skating competitions, and more shows that have <br>an artistic theme, such as Cirque du Soliel and things <br>like that. It would be nice to not have to <br>go to Penticton for all the good shows. ",bring figure state competition show artistic theme virtue du joliet thing like   would nice go penticton good show  ,3,"Encourage, support and promote local businesses and artists",-36.16793,32.322727
The Rotary Centre for the Arts is lacking in Parking close <br>to the building that is not expensive. prospera parking costs <br>8. 00 for the day and the parkade is too <br>far to carry supplies. Rental rates for non profits have <br>really increased to an unaffordable level for seniors. ,rotary centre art lack mark close building expensive   prosper parking cost   day parade far carry supply   mental rate non profit really increase unfordable level senior,1,Support events organized by local groups for the community,61.694218,-31.182096
