Response,CleanedResponse,Topic,Topic_Description,X,Y
"I like how they are trying to make a hub for <br>culture downtown. I liked during culture days when the art <br>gallery and museum were open late and free. more days <br>like that would be great. buskers are great. the lane <br>way is nice.. I like small quiet areas being transformed <br>its like hidden gems. more of those with art installations <br>in them so if you find them its like finding <br>a treasure. arts on Bernard is great. I like anything <br>that makes Bernard a walking street, there really doesn't need <br>to be cars driving on it. especially at night in <br>the summer waaaay too much foot traffic its dangerous. ",hub downtown gallery museum open late free great busker great lane nice small quiet transform hide gem installation find find treasure bernard great bernard walk street need car drive especially night summer waaaay foot traffic dangerous,3,"Music, festival, museum, gallery",9.324073,1.3180654
"I think the parks, landscaping, pedestrian access in the downtown area <br>is really nice. We're getting a more walkable/bikeable city, and <br>that means more interaction with the culture on a day-to-day <br>frequency. It's struggling outside of downtown though. I think Parks <br>Alive is a great way to bring music into the <br>city. And I think the big festivals like Canada Day <br>and Fat Cat are well-run and appeal to broad groups. <br>",think park landscape pedestrian access downtown nice walkablebikeable mean interaction daytoday frequency struggle outside downtown thoughi think park alive great bring music think big festival fat cat wellrun appeal broad group,3,"Music, festival, museum, gallery",8.958291,1.4341011
"Outdoor Summer music at local parks and downtown accessible walking downtown <br>around the lakeshore and parks Bird sanctuaries, parks Parks that <br>allow dogs beach access for off- leash dogs, lake swimming <br>for dogs Canada Day downtown Free skating at Stuart park <br>in winter Free admission to Art Gallery on Thursdays Kids <br>programs at Art Gallery new years eve events for families <br>the pier downtown ",outdoor summer music local park downtownaccessible walk downtown lakeshore parksbird sanctuary parkspark dogsbeach access leash dog lake swim dogscanada downtownfree skate stuart park winterfree admission gallery thursdayskids program gallerynew eve familiesthe pier downtown,3,"Music, festival, museum, gallery",-4.2467046,-3.7106392
live performances in the summer have been done well in Kelowna <br>for more than 20 years. Public art pieces have improved <br>in the past 10 years with downtown murals and the <br>Grizzley piece near stewart park. Also heritage signage has been <br>well done. ,performance summer piece improve past downtown mural grizzley piece near stewart park heritage signage,2,"Heritage, job opportunity, family oriented, artist",-7.3106575,-6.6870127
N/a ,,1,"Diversity, park, theatre, facility",-3.905429,-2.2658985
"can't think of a thing, at least nothing that normal, lower <br>wage earners can enjoy ",think normal low wage earner,3,"Music, festival, museum, gallery",6.408864,0.5408827
"Pianos in the Park, Buskers, Park and play, rotating events in <br>parks around the city, information signs at heritage locations ",piano park busker park play rotate park information sign heritage location,1,"Diversity, park, theatre, facility",-10.456429,13.334362
"I love all the parks and activities that happen in the <br>parks! It's so wonderful to see people out and enjoying <br>music or shows outdoors. You can really feel the community <br>being brought together. I also love that the art gallery <br>is affordable for everyone, and that it has a free <br>day every week. I remember in London that all public <br>museums/galleries are free, and in Hong Kong there's at least <br>one free day every week, and I found that to <br>be a fantastic philosophy. I'm so happy it's practiced here <br>in Kelowna as well. ",love park activity happen park wonderful music outdoors feel bring love gallery affordable free week remember london museumsgallerie free hong kong s free week find fantastic philosophy happy practice,2,"Heritage, job opportunity, family oriented, artist",-7.5169735,-7.070906
"Perhaps the OSO and one concert series. If you think hockey <br>is culture (I love professional hockey but do not think <br>it is culture), the Rockets. Beyond that, very little. I <br>was personally involved in a major BC Cancer fundraiser concert <br>and had to drag the City and Community Theatre along <br>like a ball and chain. And the recent Canada Day <br>entertainment was abysmal; the same old tired collection of amateur <br>rock bands and local blues guys. There are some great <br>musicians and performers in Kelowna but we rarely get to <br>hear them! Many have simply given up. ",concert series think hockey love hockey think rocket little personally involve major cancer fundraiser concert drag theatre ball chain recent entertainment abysmal old tired collection amateur rock band local blue guy great musician performer rarely hear simply,3,"Music, festival, museum, gallery",9.334988,1.2848144
"There is significant support for cultural practitioners from the public at <br>large. Concerts, art and museum exhibitions, plays and sporting events <br>are plentiful and mostly very well attended. Our beaches and <br>parks are beautiful, our downtown offers great shops and food. <br>There are many ways for people to enjoy our agricultural <br>heritage with cultural activities thrown in (winery concerts, plays, tours, <br>farmers market, etc.). There is innovative and interesting programming in <br>the theatres, art gallery and museums as well as self-directed <br>opportunities with other heritage sites. There is a lot that <br>people can ""do"" here and that enhances the Kelowna experience. <br>",significant cultural practitioner large concert museum exhibition play sporting plentiful attend beach park beautiful downtown offer great shop food agricultural heritage cultural activity throw winery concert play tour farmer market etc innovative interesting programming theatre gallery museum selfdirected opportunity heritage site lot enhance experience,2,"Heritage, job opportunity, family oriented, artist",-5.971659,-4.621409
"Comedians, musicians hosting performances (always would like more). ",comedian musician host performance,2,"Heritage, job opportunity, family oriented, artist",-8.754402,-6.9579797
"Urban Centres are something the city is truly doing right, as <br>has been the revitalization of Bernard. Kelowna is a great <br>place for family community events. With the exception of a <br>few chains opening in downtown--ahem, Tim Hortons--we appreciate the emphasis <br>on locally owned, regionally unique, and community driven shops downtown <br>and in Pandosy. ",urban truly right revitalization bernard great family exception chain open downtownahem tim hortonswe appreciate emphasis locally regionally unique drive shop downtown pandosy,2,"Heritage, job opportunity, family oriented, artist",-9.851719,-8.915326
"Art - public and gallery showings Performances - free, paid, theatre <br>plays ",gallery showingsperformance free pay theatre play,1,"Diversity, park, theatre, facility",-10.262428,12.85318
I can't really think of any. I don't think Kelowna really <br>focuses on culture in a meaningful way. ,think think focus meaningful,3,"Music, festival, museum, gallery",4.0477324,0.53331035
"Museums, art, and theatre icluding ballet, is done well. ",museum theatre icluding ballet,3,"Music, festival, museum, gallery",3.8435469,-0.31346554
"We have built a community that is proud to say they <br>are from Kelowna. Its culture, arts and heritage are known <br>amongst its citizens and that is important. ",build proud heritage know citizen important,3,"Music, festival, museum, gallery",6.33839,0.48461455
Schools are great at teaching the children ,school great teach child,1,"Diversity, park, theatre, facility",-9.981759,12.2323265
"Park and play, the museum ",park play museum,3,"Music, festival, museum, gallery",-0.8579657,0.08449165
"unfortunately, not sure. Don't get to events/activities often but would be <br>interested in other perspectives to teach my family & better <br>appreciate each other ",unfortunately sure eventsactivitie interested perspective teach family better appreciate,2,"Heritage, job opportunity, family oriented, artist",-9.6197195,-8.027427
"arts, cuture ",cuture,1,"Diversity, park, theatre, facility",-9.073064,10.31921
all public events and events at the theatre ,theatre,3,"Music, festival, museum, gallery",1.506295,-0.24707462
a good job ,good job,2,"Heritage, job opportunity, family oriented, artist",-7.8821845,-5.4144893
Park programs are great ,park program great,3,"Music, festival, museum, gallery",4.092146,0.1372263
childrens events ,children,1,"Diversity, park, theatre, facility",-9.286972,10.1584015
"inclusion, fund things for all ages ",inclusion fund,1,"Diversity, park, theatre, facility",-9.882514,11.225058
Parks Alive! Canada Day Celebrations ,park alivecanada celebration,1,"Diversity, park, theatre, facility",-9.563514,11.518286
Parks Alive Edith Gund 778-478-4141 ,park aliveedith gund,2,"Heritage, job opportunity, family oriented, artist",-7.3273177,-5.7115254
uncertain ,uncertain,3,"Music, festival, museum, gallery",1.6715189,-0.25434172
live music in the park ,music park,3,"Music, festival, museum, gallery",3.0644941,0.12663192
"theatre, plays, park n play ",theatre play park play,1,"Diversity, park, theatre, facility",-8.581136,10.237428
good libraries at the school ,good library school,3,"Music, festival, museum, gallery",3.5589602,-0.14076403
almost everything ,,1,"Diversity, park, theatre, facility",-3.905429,-2.2658985
I see a lot of Japanese cultural events in our city. <br>,lot japanese cultural,2,"Heritage, job opportunity, family oriented, artist",-8.491874,-6.6245036
The bike initiative is awesome. ,bike initiative awesome,3,"Music, festival, museum, gallery",4.1180906,0.5667118
"There is so much room for growth here. The main specific <br>engagement points I think are on track are: The Living <br>Things Festival, The Alternator Gallery, Kelowna Art Gallery, Mary Irwin <br>Theatre, artist development by Creative Okanagan, Theatre Kelowna, Okanagan Symphony <br>family performances, Ballet Kelowna, Creative Aging Festival, Lantern Folk Club, <br>Kelowna Arts Council grass roots programs and support. ",room growth main specific engagement point think track festival alternator gallery gallery mary irwin theatre artist development creative okanagan theatre okanagan symphony family performance ballet creative festival lantern folk club council grass root program,2,"Heritage, job opportunity, family oriented, artist",-7.377433,-7.0574174
"Public art, heritage designations, cultural walking tours, KCT, free activities in <br>public/private locations throughout Kelowna so the whole community can enjoy <br>and the City's commitment to culture and heritage are very <br>encouraging. ",heritage designation cultural walking tour kct free activity publicprivate location citys commitment heritage encouraging,2,"Heritage, job opportunity, family oriented, artist",-9.769949,-8.364797
"The pianos are great, public art is off to a good <br>start. The local student show in the art gallery is <br>a great opportunity. ",piano great good start local student gallery great opportunity,3,"Music, festival, museum, gallery",6.0448976,1.0570886
I am happy there is classical music here. We have attended <br>theatre. I like the concentration of activities in the cultural <br>district and the fact that the Rotary Centre features visual <br>as well as performing arts and has space for participation. <br>Moving arts and cultural events around the parks in the <br>summer is really great for families. ,happy classical music attend theatre concentration activitie cultural district fact feature visual perform space participation cultural park summer great family,3,"Music, festival, museum, gallery",8.565247,1.3607316
"Park activities, ",park activity,2,"Heritage, job opportunity, family oriented, artist",-5.8301954,-4.445196
I like the programs offered for my daughter ,program offer daughter,3,"Music, festival, museum, gallery",4.4647202,0.09671932
'Arts + music events park + play + parks alive ,music eventspark play park alive,1,"Diversity, park, theatre, facility",-1.3404849,0.18834649
Parks Alive - I love the bands that play each year <br>here in the park!! ,park alive love band play park,3,"Music, festival, museum, gallery",0.026070857,0.09070736
family-oriented events ,familyoriented,2,"Heritage, job opportunity, family oriented, artist",-7.567696,-5.2093754
'-park and play -block party -Vasakhi Parade done by the east <br>India temple was great ,park playblock partyvasakhi parade east india temple great,1,"Diversity, park, theatre, facility",-10.945885,13.521707
Bernard Street ,bernard street,3,"Music, festival, museum, gallery",3.0072472,0.13148518
dancing in the park :) ,dance park,1,"Diversity, park, theatre, facility",-7.87321,9.370805
Celebrating different groups of culture and heritage ,celebrate different group heritage,1,"Diversity, park, theatre, facility",-10.526639,12.111245
'-music accessibility for different cultures -wanting improvement ,music accessibility different cultureswanting improvement,2,"Heritage, job opportunity, family oriented, artist",-7.4128447,-6.0205865
awareness is increasing ,awareness increase,1,"Diversity, park, theatre, facility",-9.9094095,11.244738
"The art programs aimed at children are really great. The offerings <br>through the Rec guide are accessible and reasonable. The City <br>did a good job listening to public feedback, and not <br>going through with the busking bylaws. ",program aim child great offering rec guide accessible reasonable good job listen feedback busking bylaw,1,"Diversity, park, theatre, facility",-11.07565,14.139016
For those with money-the wine festivals. Music in the Park Canada <br>Day celebrations ,moneythe wine festival music parkcanada celebration,3,"Music, festival, museum, gallery",3.1857948,-0.90229523
Family events ,family,2,"Heritage, job opportunity, family oriented, artist",-7.5394764,-5.268112
Family stuff ,family stuff,2,"Heritage, job opportunity, family oriented, artist",-8.173559,-6.0461764
diversity ,diversity,1,"Diversity, park, theatre, facility",-9.297258,10.191443
Outdoor festivals. Provision of performance spaces. We have plenty of art <br>and sculpture installations. ,outdoor festival provision performance space plenty sculpture installation,3,"Music, festival, museum, gallery",7.6272335,0.9563823
"Concerts in the park, Long weekend celebrations, galleries, theatre ",concert park long weekend celebration gallery theatre,1,"Diversity, park, theatre, facility",-10.232223,13.007386
"Kelowna community theatre, music in the parks ",theatre music park,3,"Music, festival, museum, gallery",4.4739532,0.08256906
"Pride is fantastic, Canada day is good, new years has improved <br>with Basran. ",pride fantastic good new improve basran,2,"Heritage, job opportunity, family oriented, artist",-9.09106,-7.2847986
OSO is promoted well. Ballet Kelowna ,ballet,1,"Diversity, park, theatre, facility",-9.104709,9.904535
The event on Canada showcasing different cultures and food was done <br>well. The transition between performances needs work though. ,showcase different food transition performance need,1,"Diversity, park, theatre, facility",-10.832569,13.052951
"Art Gallery has some amazing exhibits, but the so-called culture district <br>is lacking anything significant, more of a tourist area. Would <br>like to see the digital art form in some formal <br>galleries it is time... ",gallery amazing exhibit socalled district lack significant tourist digital form formal gallery time,1,"Diversity, park, theatre, facility",-11.47952,13.808733
The Folkfest! :) ,folkfest,1,"Diversity, park, theatre, facility",-9.293883,10.160033
"Good support for free programming (Parks Alive, Canada Day), good promotion <br>of heritage walking tours in downtown, decent support for cash <br>for non-profits. ",good free programming park alive good promotion heritage walking tour downtown decent cash nonprofit,1,"Diversity, park, theatre, facility",-8.883956,11.787653
I think the majority of activities and opportunities in Kelowna are <br>being done well. There is a variety of opportunities. ,think majority activity opportunity variety opportunity,2,"Heritage, job opportunity, family oriented, artist",-8.917936,-7.1551895
So much happening and lots to do - great opportunities for <br>local artists to present their talents. ,happening lot great opportunity local artist present talent,2,"Heritage, job opportunity, family oriented, artist",-9.059561,-7.999138
Please refer above. ,refer,3,"Music, festival, museum, gallery",1.671519,-0.25434172
The City is working to create a coordinated cultural plan with <br>input from the participants. My experience is that Arts & <br>Culture scene in Kelowna is growing with new events and <br>opportunities being developed. ,create coordinate cultural plan input participant experience scene grow new opportunity develop,2,"Heritage, job opportunity, family oriented, artist",-9.285248,-8.731982
Parks alive and Kelowna art gallery ,park alive gallery,3,"Music, festival, museum, gallery",4.3429003,0.074422486
Music in the park and Dancing in the park are fantastic!!! <br>Very accessible and a lot of fun. ,music park dance park fantastic accessible lot fun,3,"Music, festival, museum, gallery",5.5359817,0.80603075
"Wine and Golf, and an increase lately in Bands brought in. <br>",wine golf increase lately band bring,1,"Diversity, park, theatre, facility",-10.730325,12.711354
Wine and native culture is promoted well. ,wine native,2,"Heritage, job opportunity, family oriented, artist",-7.9731164,-5.9169664
Only the wine industry. Everything else is neglected especially things for <br>family. ,wine industry neglect especially family,3,"Music, festival, museum, gallery",3.4004023,1.0273018
"Wine and art, but they're being overdone. ",wine overdone,2,"Heritage, job opportunity, family oriented, artist",-7.971708,-5.9142776
Local artists and art organizations are incredibly resourceful and often fairly <br>supportive of one another. ,local artist organization incredibly resourceful fairly supportive,3,"Music, festival, museum, gallery",1.4810001,-1.4817886
"I am so happy the city contributes to our professional development <br>programming: both wearing my ARTSCO hat, and my artist hat. <br>Thanks for valuing the development of arts professionals. There are <br>lots of new and exciting exhibitions, shows and events that <br>keep Kelowna fresh and exciting. This city is full of <br>amazing creativity. We have wonderful community full of diverse talent. <br>",happy contribute development programming wear artsco hat artist hat thank value development lot new exciting exhibition fresh exciting amazing creativity wonderful diverse talent,2,"Heritage, job opportunity, family oriented, artist",-9.894232,-8.794773
"They are all good, being done wonderfully :) Thanks again!!! ",good wonderfully thank,2,"Heritage, job opportunity, family oriented, artist",-8.404257,-6.391188
"Summertime activities, ie. Park & Play and Parks Alive ",summertime activity park play park alive,2,"Heritage, job opportunity, family oriented, artist",-4.1459603,-2.601638
'- summer outdoor events (for kids and music related) - more <br>historical Kelowna events (tour of Kelowna heritage) (with lots of <br>advertising) ,summer outdoor kid music relate historical tour heritage lot advertising,3,"Music, festival, museum, gallery",7.6202846,1.0990252
"All different festival, plays, concerts. ",different festival play concert,1,"Diversity, park, theatre, facility",-8.091461,9.716549
Library + museum programs :) Love Stuart Park events as well. <br>,library museum program love stuart park,3,"Music, festival, museum, gallery",7.007169,0.8786234
KL Pride bringing awareness to the community. ,pride bring awareness,1,"Diversity, park, theatre, facility",-10.324333,11.96514
Parks Alive - love it Wineries ,park alive love itwinerie,3,"Music, festival, museum, gallery",5.359799,0.41860157
Parks Alive in summer ,park alive summer,3,"Music, festival, museum, gallery",4.49817,0.43184337
The museums are good. Art festivals are good. ,museum good festival good,3,"Music, festival, museum, gallery",3.4381278,0.07133545
"Parks alive. Activities that are offered at art gallery, Rotary Arts <br>Center ",park alive activity offer gallery center,3,"Music, festival, museum, gallery",1.4459288,-1.4952427
"Ballet Kelowna has grown to International recognition, partly through Simone Orlando <br>and partly through the support of City of Kelowna. Their <br>performances are outstanding. So is the OSO. Rosemary includes front <br>of house in the symphony's performances, describing the pieces and <br>making classical music fun! The KAG is a great gallery <br>but could do more to support local shows as there <br>is a lot of growing and creative talent in this <br>city. Public art could also use an upgrade. ",ballet grow international recognition partly simone orlando partly performance outstanding rosemary include house symphonys performance describe piece classical music fun kag great gallery local lot grow creative talent use upgrade,2,"Heritage, job opportunity, family oriented, artist",-9.44829,-8.954798
"music, visual arts the wineries help a lot with this although <br>they cater to a certain crowd - not for everyone <br>",music visual artsthe winery help lot cater certain crowd,3,"Music, festival, museum, gallery",7.7755127,1.1433234
"Support and promotion of events/celebrations in some cases such as Pride, <br>Culture Days, There is also neighbourhood celebration event funding. The <br>museums. The arts facilities are good but in short supply. <br>",promotion eventscelebration case pride neighbourhood celebration fund museum facility good short supply,1,"Diversity, park, theatre, facility",-10.814843,13.910129
Heritage research at the museum. ,heritage research museum,2,"Heritage, job opportunity, family oriented, artist",-6.074112,-4.6749783
Kelowna waterfront. The design (Performing areas) and gardens are fantastic. A <br>great attraction. ,waterfront design perform garden fantastic great attraction,1,"Diversity, park, theatre, facility",-11.073476,13.1494255
Everything outside city hall. ,outside hall,1,"Diversity, park, theatre, facility",-9.770607,11.207282
Art and theatre events. Events highlighting sport (Banff & Vancouver Mountain <br>Film fest are always sold out) ,theatre eventsevent highlight sport banff vancouver mountain film f sell,1,"Diversity, park, theatre, facility",-11.449714,13.607357
The many Festivals that are held in the community give encouragement <br>and growth to the arts. Also enjoy the professional arts <br>groups and we must ensure that they receive the support <br>of the local community. ,festival hold encouragement growth group ensure receive local,1,"Diversity, park, theatre, facility",-9.124791,11.937565
"Even though I am on the Board for Festivals Kelowna - <br>I think that was one of the best projects that <br>Kelowna has done to expand culture for the community. The <br>events are open to the public without cost. This encourages <br>local participation. I like the way that the cultural area <br>is continuously expanding and improving. Kelowna is a wonderful place <br>to be. I have lived in Kelowna for over 50 <br>years and have seen many changes. I congratulate the City <br>Council for their vision. I sat on a community ""feedback""committee <br>back in the 90's. ",board festival think good project expand open cost encourage local participation cultural continuously expand improve wonderful change congratulate council vision sit feedbackcommittee,3,"Music, festival, museum, gallery",9.03267,0.99647105
Festivals Kelowna is doing a great job; the Kiwanis Music Festival <br>is doing a good job of growing the involvement of <br>youth in music ,festival great job kiwanis music festival good job grow involvement youth music,2,"Heritage, job opportunity, family oriented, artist",-5.8817687,-4.616247
Events ,,1,"Diversity, park, theatre, facility",-3.905429,-2.2658985
No idea. Nothing that I know of. ,idea know,1,"Diversity, park, theatre, facility",-9.619385,11.20707
We work very hard at UBC to integrate our various populations <br>and strive for diversity and inclusion. ,hard ubc integrate population strive diversity inclusion,3,"Music, festival, museum, gallery",-0.19052154,0.106181584
free outdoor events like Parks Alive. this is exactly what we <br>need! ,free outdoor park alive exactly need,3,"Music, festival, museum, gallery",6.8091583,0.6672889
"For its size, Kelowna is rich in cultural and heritage offerings. <br>Ticket prices are still relatively affordable (though less so for <br>those with limited or fixed incomes). I am impressed by <br>the number of free, family-oriented offerings hosted by the city, <br>such as Parks Alive and Canada Day. ",size rich cultural heritage offering ticket price relatively affordable limited fix income impress number free familyoriented offering host park alive,1,"Diversity, park, theatre, facility",-11.38298,13.869087
"I think there's a nice spirit about it, it's just ready <br>to be taken to the next level. ",think s nice spirit ready level,2,"Heritage, job opportunity, family oriented, artist",-8.7946615,-7.4433527
I have seen an increase in spaces for arts and culture <br>displays ,increase space display,1,"Diversity, park, theatre, facility",-9.81613,11.934563
A variety of visual and performing art for every age group. <br>,variety visual perform group,1,"Diversity, park, theatre, facility",-10.472403,12.504725
there is a wide variety to chose from to attend or <br>participate in for many age groups and interest areas. ,wide variety choose attend group interest,3,"Music, festival, museum, gallery",-0.2178423,0.09900705
'-Parks Alive -live theatre (Mamma Mia was excellent) ,park alivelive theatre mamma mia excellent,1,"Diversity, park, theatre, facility",-10.496008,13.041678
'-Parks Alive -festivals ,park alivefestival,3,"Music, festival, museum, gallery",2.6198359,0.029291814
"Outdoor events, support for the art organizations thru grants. ",outdoor organization grant,2,"Heritage, job opportunity, family oriented, artist",-7.1924205,-5.7485967
"Different genres are well represented, with Ballet Kelowna, KAG, Kelowna Actors <br>Studio, OK Symphony.... but most quite expensive for average family <br>or not practical for those with small kids. ",different genre represent ballet kag actor studio symphony expensive average family practical small kid,2,"Heritage, job opportunity, family oriented, artist",-9.837228,-8.457967
Public Activities. ,activity,2,"Heritage, job opportunity, family oriented, artist",-7.609915,-5.2899895
:) more family-friendly festivals (ie NOT CofG) Actors Studio ,familyfriendly festival cofgactor studio,3,"Music, festival, museum, gallery",5.4575877,0.46356514
Arts are well covered. ,cover,1,"Diversity, park, theatre, facility",-9.073064,10.31921
I believe there is a lot of variety. ,believe lot variety,2,"Heritage, job opportunity, family oriented, artist",-8.494318,-6.0422735
Heritage gets lots of attention ,heritage lot attention,2,"Heritage, job opportunity, family oriented, artist",-8.461627,-6.5656743
Art Walk is an example of something done well. ,walk,3,"Music, festival, museum, gallery",1.64301,-0.28611836
"Musical events, enjoying the free events as well as the for <br>profit events that promote good values. I love the historic <br>declarations around town. ",musical free profit good value love historic declaration town,3,"Music, festival, museum, gallery",7.892745,0.79565054
"Art, Music, Theatre ",music theatre,3,"Music, festival, museum, gallery",3.0670981,0.042266253
I think the city has done well so far. I have <br>lived here 20 years and see the ongoing changes and <br>improvements to the cultural aspects in Kelowna. Continue to think <br>big and act wisely! ,think far ongoing change improvement cultural aspect kelownacontinue think big act wisely,2,"Heritage, job opportunity, family oriented, artist",-9.697896,-8.260363
"OPERA KELOWNA!!! BERNARD STREET FARMERS MARKET NEEDS HELP (HAVE IT MORE <br>OFTEN, AND CLOSE THE STREET TO CARS PERMANENTLY!) RIBFEST COULD <br>BE DONE BETTER, HAVE IN CITY PARK CLOSER TO DOWNTOWN <br>SHOPS (E.G. MOOLICKS) ",opera kelownabernard street farmer market need help close street car permanentlyribfest better park close downtown shop moolick,3,"Music, festival, museum, gallery",-0.62931687,0.11648089
"Street art, kelowna cultural district, Public art, heritage houses. ",street cultural district heritage house,3,"Music, festival, museum, gallery",3.2626393,0.88180864
diversity ,diversity,1,"Diversity, park, theatre, facility",-9.297258,10.191443
"events, libraries, the will to keep improving and recognizing culture, the <br>number of free things, skating and special things in Stewart <br>Park ",library improve recognize number free skate special stewart park,3,"Music, festival, museum, gallery",7.811387,0.80826753
Folkfest Canada day celebrations ,folkfestcanada celebration,1,"Diversity, park, theatre, facility",-9.846065,11.2043705
"Music in the park, support for arts communities, weekly/monthly recurring events. <br>",music park weeklymonthly recur,3,"Music, festival, museum, gallery",5.212305,0.40407935
Love the music in the parks. Love the farmers' market downtown. <br>,love music park love farmer market downtown,3,"Music, festival, museum, gallery",6.634425,0.8182924
"live theatre, art shows and festivals. ",theatre festival,3,"Music, festival, museum, gallery",3.0819707,0.053775642
"The Kelowna Art Gallery is very well run and a good <br>example for many other local organizations. I've been impressed to <br>see the number of live music venues expand over the <br>years and that's probably due to some of the City's <br>initiatives, including the revitalization of Bernard Avenue. Parks Alive! is <br>a fabulous initiative and probably how the general population gets <br>their 'culture' hit. That said, with it being free, we <br>aren't doing a great job of encouraging people to pay <br>for entertainment or experiences elsewhere. A number of grassroots organizations <br>have popped up over the years and they are working <br>hard to make an impact and find a local audience, <br>creating strong work in the process (New Arts Collective and <br>Fred Skeleton Theatre spring to mind). Investment in some initiatives <br>such as Breakout West is also encouraging. ",gallery run good local organization impressed number music venue expand s probably citys initiative include revitalization bernard avenue park alive fabulous initiative probably general population hit free great job encourage pay entertainment experience number grassroot organization pop hard impact find local audience create strong process new collective fred skeleton theatre spring mind investment initiative breakout west encourage,2,"Heritage, job opportunity, family oriented, artist",-6.309605,-5.44124
"Parks Alive, Pianos in the summer time ",park alive piano summer time,3,"Music, festival, museum, gallery",6.0410147,0.514071
"The culinary scene looks like it's doing well, with so many <br>wineries and restaurants and farmers markets all over the place. <br>The parks alive music is great! More of those events <br>are needed! ",culinary scene look winery restaurant farmer market park alive music great need,3,"Music, festival, museum, gallery",8.524071,0.89715344
"For the size of the city Kelowna has a wealth of <br>artistic groups, shows, performances etc. The calibre of these is <br>generally quite high. ",size wealth artistic group performance etc calibre generally high,1,"Diversity, park, theatre, facility",-11.46175,13.602547
"Various festivals are great, parks alive is great kind of. ",festival great park alive great kind,3,"Music, festival, museum, gallery",5.94026,0.51437706
The cultural organization create a lot of great events for the <br>community. ,cultural organization create lot great,2,"Heritage, job opportunity, family oriented, artist",-8.742211,-7.365422
Good variety of local talent across all mediums. ,good variety local talent medium,1,"Diversity, park, theatre, facility",-10.070109,11.893163
"The visible Art within the community, Canada Day is great. the <br>evening that a portion of Bernard Ave was closed and <br>the Art was for sale was a good idea ",visible great evening portion bernard ave closed sale good idea,1,"Diversity, park, theatre, facility",-10.911762,13.877203
"The Rotary Arts Centre and the Kelowna Art Gallery are wonderful <br>existing resources and spaces. The Community Theatre , while an <br>aging facility, appears to be well utilized. Stewart Park and <br>the downtown performance areas are fantastic resources and attract locals <br>and tourists. Smaller venues could/should be better utilized such as, <br>Black Box Theatre, the Forum, etc. ",gallery wonderful exist resource space theatre facility appear utilize stewart park downtown performance fantastic resource attract local tourist small venue couldshould better utilize black box theatre forum etc,3,"Music, festival, museum, gallery",8.987941,1.4096899
"Music, festivals and museums. ",music festival museum,3,"Music, festival, museum, gallery",4.6309276,0.44870827
"Parks alive is great! The festivals downtown are wonderful. But when <br>the summer crowds are gone, there's a lot fewer choices <br>for locals. Locals build a sustainable cultural vibe that tourists <br>enjoy for a few days. Local food, local wine, local <br>talent - a local focus is a great way to <br>make Kelowna stand out from other cities. ",park alive great festival downtown wonderful summer crowd s lot choice local local build sustainable cultural vibe tourist local food local wine local talent local focus great stand,3,"Music, festival, museum, gallery",8.4556055,0.9823247
There is room for improvement in most cases ,room improvement case,1,"Diversity, park, theatre, facility",-10.38307,11.829689
