CleanedResponse,Response,Topic_LDA,X,Y
open rehearsal organization business good marketing program cost associate many people activity expensive wide variety program family resident part visit go festival culture city vagrant colourful sidewalk art identify cultural district footprint walk path,"'Obtained from OSO Open Rehearsals Organizations/ Businesses: - Better marketing of <br>programs and cost associated with them (many people think activities <br>are too expensive) - Wide variety of programs for families <br>Residents: - Take part in, visit, go to festivals. Be <br>culture! City of Kelowna: - Vibrant, colorful sidewalk art to <br>identify the cultural district - footprint walking paths ",2,-25.960438,-14.975338
open rehearsal organization business participate cultural activity event contribute car resident connect different cultural group participate cultural activity city hold several cultural artistic event funding event organizer create maintain free cultural space eg auditorium,'Obtained from OSO Open Rehearsals Organizations/ Businesses - Participate in cultural <br>activities/ events - Contribute through CSR Residents: - Connect with <br>different cultural groups - Participate in cultural activities City of <br>Kelowna: - Hold several cultural/ artistry events - Give funding <br>to event organizers - Create/ maintain free cultural spaces eg. <br>Auditorium ,2,-25.90025,-15.036461
innovation center vantage event organization business russian speaking community city festival,'Obtained from Innovation Center Vantage Event Organizations/Businesses: - Russian Speaking Community <br>City of Kelowna: - Festivals ,3,-3.7791786,15.065568
innovation center vantage event,Obtained from Innovation Center Vantage Event ,2,-24.868172,-16.470842
innovation center vantage event city cultural infrastructure performance space,'Obtained from Innovation Center Vantage Event City of Kelowna: - More <br>cultural infrastructure and performance spaces ,2,-25.429651,-15.739176
innovation center vantage event organization business downtown association collect fee contribute funding project resident get engage city business resident important,'Obtained from Innovation Center Vantage Event Organizations/Businesses: - Downtown Kelowna association <br>could collect a fee to contribute to the funding of <br>projects Residents: - Get out and engage City of Kelowna: <br>- Listen to businesses and residents about what is important <br>to them ,3,-4.1229205,15.600682
innovation center vantage event organization business use low na friendship society venue service member talent,"'Obtained from Innovation Center Vantage Event Organizations/Businesses: - Use Ki-Low-Na friendship <br>societies venue, services, member talents ",3,-3.9638038,15.176084
innovation center vantage event organization business inform consult city constituent,'Obtained from Innovation Center Vantage Event Organizations/Businesses: - Be informed and <br>consulted City of Kelowna: - Listen to Constituents ,2,-25.451817,-15.688677
innovation center vantage event,Obtained from Innovation Center Vantage Event ,2,-24.868172,-16.470842
innovation center vantage event organization business sponsorship resident promotion sharing event city money,'Obtained from Innovation Center Vantage Event Organizations/Businesses: - Sponsorships Residents: - <br>Promotion and sharing of events City of Kelowna: - Money <br>,3,-3.709502,15.788122
innovation center vantage event,Obtained from Innovation Center Vantage Event ,2,-24.868172,-16.470842
integrate cultural facility city umbrella especially rotary centre art,Integrate some cultural facilities under City of Kelowna umbrella - especially <br>the Rotary Centre for the Arts ,2,-25.45781,-15.744457
agriculture important heritage component city,agriculture as an important heritage component to the city ,2,-24.991446,-16.30774
improve relationship business artist education integration base progressive sustainable design thinking outside valley big,"Improve relationship businesses with artists. Education (integration) based on progressive and <br>sustainable design thinking, from outside of the Okanagan Valley - <br>think bigger. ",2,-25.667562,-15.243078
one award hard work group small business try bring live music culture art space feedback city,"hone and award hard work of groups or small businesses that <br>try to bring live music, culture and art into their <br>space but have no PR or feedback from city. ",2,-25.877918,-15.332177
good publicity city band concert city chorus concert summer outdoor concert series etc publicity various play ballet etc cultural event calendar one central spot city webster,"Better publicity about Kelowna City Band concerts, Kelowna City Chorus concerts, <br>the summer outdoor concert series, etc. Include publicity about the <br>various plays, ballet, etc. (cultural events calendar) in one central <br>spot on Kelowna City website. ",3,-4.099161,15.385599
immigrant wealth culture,Immigrant wealth of culture in Kelowna ,3,-3.5577524,15.745126
wine innovation center organization business ultimately understand survey question even mean suggest simplify language make large impact resident city,'Obtained from Wine and Wins at Innovation Center Organizations/ Businesses: - <br>Ultimately I don't understand what this [The Survey Questions] even <br>means. I'd suggest that you simplify your language to make <br>a larger impact. Residents: - City of Kelowna - ,3,-3.9791055,15.713205
wine innovation center,Obtained from Wine and Wins at Innovation Center ,2,-24.618916,-16.638826
wine innovation center,Obtained from Wine and Wins at Innovation Center ,2,-24.618916,-16.638826
wine innovation center organization business connect art education teach tradition resident city innovative funding risk,"'Obtained from Wine and Wins at Innovation Center Organizations/ Businesses: - <br>Connect Arts, education, tech and tradition Residents: - City of <br>Kelowna - Innovative funding, take risks ",3,-4.1238227,15.406769
wine innovation center organization business donation fundraiser resident city campaign raise awareness community,'Obtained from Wine and Wins at Innovation Center Organizations/ Businesses: - <br>Donations/ Fundraisers Residents: - City of Kelowna - Campaigns to <br>raise awareness within our community ,2,-25.700888,-15.452503
wine innovation center organization business resident city inclusive service,'Obtained from Wine and Wins at Innovation Center Organizations/ Businesses: - <br>Residents: - City of Kelowna - Inclusive Services for all <br>genders ,3,-3.4252143,15.509906
african caribbean organization business advocate resident volunteer city designate action group dedicate funding,'Obtained from UBC Okanagan African Caribbean at Laurel Packinghouse Organizations/ Businesses: <br>- Advocate Residents: - Volunteer City of Kelowna - Designate <br>an action group and dedicate funding ,1,15.895259,-8.89253
wine innovation center organization business support sponsor cultural event resident participate share cultural activity city put cultural event weekend bring people outside,'Obtained from Wine and Wins at Innovation Center Organizations/ Businesses: - <br>Support or sponsor cultural events Residents: - Participate and share <br>cultural activities City of Kelowna - Put on cultural events <br>on weekends that bring people from outside of Kelowna ,2,-25.859772,-15.253298
african caribbean night organization business learn use skill peak racism xenophobia business treat emigrant worker respect attend event resident attend support existing event learn use skill speak racism acknowledge learn indigenous people city subsidize use event space cultural group small grant cultural group encourage city staff attend event,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Learn and use skills to peak out against <br>racism and xenophobia in businesses - Treat migrant workers with <br>respect - Attend each others events Residents: - Attend and <br>support existing events - Learn and use skills to speak <br>out against racism - Acknowledge and learn about indigenous people <br>City of Kelowna - Subsidize the use of event spaces <br>for cultural groups - Small grants for cultural groups - <br>Encourage city staff to attend events ,3,-4.1324077,15.357289
african caribbean night organization business free bike resident promotion city less regulation small entitle,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Free Bike Kelowna Residents: - More promotion City <br>of Kelowna - Less regulation for small entities ,1,15.812743,-8.853184
african caribbean night organization business funding resident open minded city funding awareness,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Funding Residents: - Be open Minded City of <br>Kelowna - Funding/ Awareness ,1,16.231527,-8.882001
african caribbean night organization business sponsorship competition resident invitation resident attend city promotion,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Sponsorships and competitions Residents: - Invitations to residents <br>to attend City of Kelowna - Promotions ,2,-25.61863,-15.451711
african caribbean night organization business education promotion culture resident education various culture city incorporation city plan,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Education and promotion of other cultures Residents: - <br>Education on various cultures City of Kelowna - Incorporation into <br>city plans ,3,-3.4538598,15.54434
african caribbean night,Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse ,1,17.495066,-8.601715
african caribbean night,Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse ,1,17.495066,-8.601715
african caribbean night,Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse ,1,17.495066,-8.601715
african caribbean night organization business opportunity community appreciate resident build support local community city increase cultural awareness via event opportunity fundraising building support local community,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Provide opportunity for the community to be appreciated <br>Residents: - Build rapport with local communities City of Kelowna <br>- Increase cultural awareness via more events which provide opportunities <br>for fundraising and building rapport with local communities ,1,15.52071,-8.731315
african caribbean night organization business funding organize event create cultural awareness resident open minded discuss support cultural event city organize cultural event,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Funding - Organize events to create cultural awareness <br>Residents: - Be open minded - Discuss - Support cultural <br>events City of Kelowna - Organize cultural events ,2,-25.674643,-15.253717
african caribbean night organization business donate hard cultural piece fund advertise promote resident engage resident company get involved spread word different community city actively promote advertising campaign fund event,'Obtained from UBC Okanagan African Caribbean Night at Laurel Packinghouse Organizations/ <br>Businesses: - Donate hard-to-find cultural pieces and funds to obtain <br>them. Also advertise and promote Residents: - Engage residents through <br>companies to get them involved so they can spread the <br>word through different communities City of Kelowna - Actively promote <br>through advertising campaigns and fund events ,3,-3.7806082,15.097244
optimize facility capture replace raging inadequate act large attractive better situate community theatre capture large permanent control access outdoor facility use summer peak visitor season use part parking lot outdoor event desirable,"I don't think that ""optimizing existing facilities"" captures the need to <br>replace the aging and inadequate KCT with a larger, more <br>attractive and better-situated Community Theatre. It also does not capture <br>the need for a large permanent controlled-access outdoor facility for <br>use in the summer (during peak visitor season). Use of <br>parks and parking lots for outdoor events is not desirable. <br>",3,-3.7838392,15.060054
support business hire artist organization organize event people thing idea space organization moment like little group run everything keep numbered opportunity friend equal opportunity open artist community public art space everyone showcase art music performance craft city block,"Not only the support to businesses who hire artists, and existing <br>organizations that organize events, but we need new people doing <br>things, new ideas, new spaces, new organizations. At the moment <br>it seems like there is a little group running everything <br>and keeping the numbered opportunities for themselves and their friends. <br>Equal opportunity should be opened to all artists and the <br>community. Kelowna needs a public art space, where everyone can <br>showcase their art, music, performance, crafts, all cities have that, <br>why are we blocking this here? ",1,15.07974,-9.032251
attend symphony orchestra concert chamber music concert community concert retire musician current community theatre enhance performance orchestra grow cultural community grow point deserve good concert hall perform art centre vernon huge difference experience orchestra concert two location live wish drive vernon back night attend performance support excellent concert hall mary iron theatre perfect small resemble small audience large enough capacity good caustic symphony orchestra community concert,"I attend Okanagan Symphony Orchestra concerts, as well as Chamber Music <br>Kelowna concerts and Community Concerts and , as a retired <br>musician I feel that the current Kelowna Community Theatre is <br>not enhancing the performance of the orchestra. Kelowna has grown <br>and the cultural community has grown to the point that <br>we deserve a good concert hall, such as the Performing <br>Arts Centre in Vernon. I find a huge difference in <br>my experience of orchestral concerts at these two locations. I <br>live in Kelowna and I don't wish to drive to <br>Vernon and back at night, so I attend the Kelowna <br>performances. We can support an excellent concert hall. The Mary <br>Irwin Theatre is perfect for smaller ensembles and smaller audiences, <br>but doesn't have a large enough capacity or good acoustics <br>for a symphony orchestra or for Community Concerts. ",3,-3.143785,15.42292
unfordable performance space pressing,Affordable performance spaces is the most pressing need. ,3,-3.7887597,15.827808
age music avenue,We NEED more all ages music venues! ,2,-24.609095,-16.674936
live music avenue downtown great improvement,Some more live music venues downtown would be a great improvement. <br>,2,-25.210299,-16.04775
supply demand reality facility better utilize without tremendous effort cost,Supply and demand is the reality...but some existing facilities could be <br>better utilized without tremendous effort or cost. ,1,16.101664,-8.874988
city staff organization business partnership put money towards culture expect city everything resident volunteer city expand rebuild act get big good event,"'Obtained from City Staff Organizations/ Businesses - Partnerships: Put money towards <br>culture, don't expect the city to provide everything Residents - <br>Volunteer City of Kelowna - Expand/ Rebuild KCT so we <br>can get bigger/ better events ",1,15.397166,-8.806931
city staff organization business partnership resource assist plan resident volunteer input city partnership creation follow implement,'Obtained from City Staff Organizations/ Businesses - Partnerships - Resources - <br>Assist with planning Residents - Volunteer - Give input City <br>of Kelowna - $ -Partnership creation - Follow through and <br>implement ,1,15.913921,-8.90009
city staff organization business promote partner city host event advertise sponsorship program artist resident look activity opportunity get involve involve child exposure activity interest city grain cultural activity advertisement activity city event broaden audience,'Obtained from City Staff Organizations/ Businesses - Promote and partner with <br>the city to host events and advertise for them - <br>Sponsorships for programs/ artists Residents - Look out for activities <br>and for opportunities to get involved - Involve children as <br>an exposure to new activities and interests City of Kelowna <br>- Ingrain cultural activities and advertisement for those activities in <br>other city events to broaden the audience for them ,2,-25.879292,-15.080075
city staff organization business incentive host cultural event offer space low cost rental resident language learn polish native language french etc block party cultural component come event help promote event volunteer event cultural space city culture better support business individual group get involve good promotion cultural winter festival like french canadian cultural passport centralized location different culture explore low cost area people rent creative create culture ex art collector,"'Obtained from City Staff Organizations/ Businesses -More incentive to host cultural <br>events, offer space for low cost rental Residents - Language <br>learn to, Polish, Native Language, French, etc. - Block parties <br>with cultural component - Come out to events - Help <br>promote events - Volunteer at events and cultural spaces City <br>of Kelowna - Culture days better, support more businesses and <br>individual groups to get involved - Better promotion of cultural <br>days - Winter festival/ Viking/ French Canadian -Cultural passport to <br>decentralized locations, each a different culture to explore - More <br>low cost areas for people to rent and be creative <br>+ create culture Ex: Art collectors ",1,17.976055,-8.3826
city staff organization business fund engagement organization org org org city resident engagement face face marketing city create plan get feedback,"'Obtained from City Staff Organizations/ Businesses - Funding - Engagment with <br>organizations (Orgs with orgs and orgs with city) Residents - <br>Engagement (face to face) - Marketing City of Kelowna - <br>Create plan, get feedback ",2,-25.593367,-15.534523
city staff organization business window dressing dress special occasion city event cultural organization get involve group get involve event volunteer participate resident cultural activity place near neighborhood request support run canvas neighborhood ask fro idea e event public art neighborhood city add funding continue funding support organization business neighborhood,"'Obtained from City Staff Organizations/ Businesses -Window dressing/ dressing for special <br>occasions (City events, cultural days) -Organizations to get involved as <br>a group to get involved in an event. Volunteer or <br>participate Residents - If a cultural activity takes place in <br>or near a neighborhood, request their support to run it <br>- Canvas neighborhoods to ask fro their ideas i.e. events, <br>public art in their neighborhood City of Kelowna - Add <br>more funding - Continue to provide funding to support organizations, <br>businesses, neighborhoods ",1,15.1772375,-8.972805
base reading peter kageyama work describe two book art city make love live suggest goal focus harness increase emotional connection citizen local many real world example creative theme disruption project supreme local action describe mr kageyama book rest people town please read book,"Based on my reading of Peter Kageyama's work described in his <br>two books, 'The Art of City Making' and 'Love Where <br>You Live??, I suggest a goal focussed on harnessing and <br>increasing the emotional connection citizens have for their locale. There <br>are many real-world examples of creative themes, disruptive projects and <br>supremely local actions described by Mr. Kageyama in these books <br>but they all rest on the feelings people have for <br>their town. Please read these books! ",1,15.056798,-8.974176
something special large installation visible night add creative vitality city become meeting place event simply local point section city cloud gate chicago mountain bellagio la begin sail dolphin brilliant year time add,"There's something special about large installations visible during the day or <br>night that add to the creative vitality of a city. <br>They become a meeting place, an event, or simply a <br>focal point of section of the city. Think Cloud Gate <br>in Chicago or the fountains at the Bellagio in Las <br>Vegas. The sails and dolphins have been brilliant all these <br>years, time to add to these! ",2,-25.961966,-14.978227
